PROBEID	SYMBOL	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
1007_s_at	DDR1	discoidin domain receptor tyrosine kinase 1	0.00117098559438045	2.23679484796339	0.69550172523648	0.496467012849641	0.76027588807151	-6.94621140228888
1007_s_at	MIR4640	microRNA 4640	0.00117098559438045	2.23679484796339	0.69550172523648	0.496467012849641	0.76027588807151	-6.94621140228888
1053_at	RFC2	replication factor C subunit 2	-0.478963800003008	5.31661169477903	-2.44096015695087	0.0263164391574824	0.124397372453581	-4.51847489716247
117_at	HSPA6	heat shock protein family A (Hsp70) member 6	1.60096313985633	6.25855858930422	3.2200950719606	0.0052058624775801	0.0357039807903716	-2.96433938720443
121_at	PAX8	paired box 8	-0.202988264874056	5.70828551311047	-1.43595145261142	0.169793588871239	0.467850938644469	-6.17334010508876
1255_g_at	GUCA1A	guanylate cyclase activator 1A	1.8292739984764	3.5184887983362	3.97084556408261	0.0010487205895938	0.00990196648216891	-1.38091027251313
1294_at	UBA7	ubiquitin like modifier activating enzyme 7	-1.32709695995395	5.07280785031301	-4.18571962266962	0.000664123788486362	0.00688951134955382	-0.924178369456238
1294_at	MIR5193	microRNA 5193	-1.32709695995395	5.07280785031301	-4.18571962266962	0.000664123788486362	0.00688951134955382	-0.924178369456238
1316_at	THRA	thyroid hormone receptor, alpha	0.000922497695368119	2.24555118185264	0.68259762993771	0.50437801653948	0.767879708657338	-6.9553275889538
1320_at	PTPN21	protein tyrosine phosphatase, non-receptor type 21	0.00240383481602224	2.23739376122367	0.902871011788785	0.379648846993554	0.650597189691407	-6.7780406893761
1405_i_at	CCL5	C-C motif chemokine ligand 5	1.45803256704285	11.7399450700639	2.21625843450995	0.0411178723785224	0.175826050702478	-4.93257566568699
1431_at	CYP2E1	cytochrome P450 family 2 subfamily E member 1	0	2.23619184381566	0	1	1	-7.19768722571472
1438_at	EPHB3	EPH receptor B3	0.0188930716816476	2.24563837965648	1.45663277171613	0.164074204237482	0.459531491793146	-6.14536709133392
1487_at	ESRRA	estrogen related receptor alpha	-0.114562703803418	5.99507888604143	-1.12468597758772	0.276894665390837	0.620409601934937	-6.55498168020482
1494_f_at	CYP2A6	cytochrome P450 family 2 subfamily A member 6	-0.0233930300416607	2.26454413742838	-0.970215666367729	0.346014444115155	0.627322394112798	-6.71489243112072
1598_g_at	GAS6	growth arrest specific 6	0.65492904972153	7.85967954312014	2.04384217678956	0.0573525092451977	0.225672958416165	-5.23563472787822
160020_at	MMP14	matrix metallopeptidase 14	1.00465744842901	7.58426257831213	2.7606939121586	0.0136798896017638	0.0753967301499143	-3.89890549936833
1729_at	TRADD	TNFRSF1A associated via death domain	1.35804615612626	9.03469609160585	6.27906324826645	9.75478636413904e-06	0.000264757496409391	3.35033130909765
177_at	PLD1	phospholipase D1	0.999463107280957	2.94807301081847	3.5107619261559	0.00280174715309555	0.0217910407722262	-2.35606281424936
1773_at	FNTB	farnesyltransferase, CAAX box, beta	0.0049396290107997	2.27726031206913	1.16917210067864	0.259027428917703	0.598435272013807	-6.50516494589315
1773_at	CHURC1-FNTB	CHURC1-FNTB readthrough	0.0049396290107997	2.27726031206913	1.16917210067864	0.259027428917703	0.598435272013807	-6.50516494589315
179_at	DTX2P1-UPK3BP1-PMS2P11	DTX2P1-UPK3BP1-PMS2P11 readthrough, transcribed pseudogene	0.0654591387368044	2.26892163751757	1.01448595628705	0.325067077578445	0.625195195534899	-6.67117916085192
1861_at	BAD	BCL2 associated agonist of cell death	0	2.23619184381566	0	1	1	-7.19768722571472
200000_s_at	PRPF8	pre-mRNA processing factor 8	-0.125027740576177	8.91682043443629	-0.810864927183621	0.429040171192559	0.694695757847996	-6.85763096104041
200001_at	CAPNS1	calpain small subunit 1	-0.409284526879627	10.8172119574845	-2.3857079234631	0.0294031942548257	0.135762821711621	-4.62212169173059
200002_at	RPL35	ribosomal protein L35	-0.256889651388684	11.3962021638855	-3.31521093271165	0.00425227847453215	0.0303405447479987	-2.76634426549192
200003_s_at	RPL28	ribosomal protein L28	-0.383241776860196	13.2227782533392	-2.93023735858373	0.00960329114263353	0.0574161890344253	-3.5589773727273
200003_s_at	MIR6805	microRNA 6805	-0.383241776860196	13.2227782533392	-2.93023735858373	0.00960329114263353	0.0574161890344253	-3.5589773727273
200004_at	EIF4G2	eukaryotic translation initiation factor 4 gamma 2	-0.260420907646454	11.8885859066622	-2.45943735518816	0.0253542407038556	0.120926486644695	-4.48356710966238
200005_at	EIF3D	eukaryotic translation initiation factor 3 subunit D	-0.00552751118658179	10.0524685527067	-0.0290046149365171	0.977210517644395	1	-7.19724343569125
