Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
RELA 24523406 ChIP-Seq FIBROSARCOMA Human	163/1182	4.883767006075497E-81	3.1500297189186954E-78	0	0	5.757906524096662	1064.7720870935514	CD86;ANKLE2;CSF3;IL1RN;CSF2;CD83;SERPINE2;CSF1;UXS1;CD80;PRF1;PRDM1;GABPB1;UBE2Z;BACH1;TNF;TSKU;ETS2;ICAM1;IL4I1;GPBP1;ZC3H12A;NAMPT;PIM1;IL12B;MAP3K8;NBN;IER5;JUNB;TNFRSF4;IER3;IL15RA;TLE1;PPTC7;TAP1;TICAM1;GEM;ADAM19;IL23A;NINJ1;RHCG;SQSTM1;CFB;IDO1;PTGES;CD274;IGSF3;SLC41A2;EBI3;TWIST1;CYP27B1;NDP;PI3;HIVEP2;ST3GAL1;BCL9L;ABCA1;PLK3;GADD45B;TNFRSF9;TFPI2;ZBTB10;INHBA;NFKB1;NFKB2;ABTB2;NR4A2;NFKBIA;SLC6A6;NR4A1;IL6;NR4A3;MAFG;BHLHE40;MAFF;BCL3;SNAI1;REL;BCL2;NFE2L2;BTG3;CXCL6;CDKN1A;SMG1;CD40;CLIC4;TNFAIP3;CXCL1;CXCL3;SLC2A6;CXCL2;CXCL5;PANX1;ARL5B;NFKBIZ;TRIM69;ITGB8;CCR7;UPP1;KDM6B;DUSP5;EDN1;PTGIR;DUSP1;RIPK2;IL15;MMP1;TRAF1;TMEM173;F3;IL1A;IFNG;IRF4;IL1B;IRF1;IRF2;ARHGEF2;BIRC2;CD44;BIRC3;B4GALT5;PPP1R15A;PTGER4;PPP1R15B;GRAMD1A;TRIM16L;C1S;BCL2A1;FAM129A;DENND3;SLC3A2;PTGS2;TANK;THBS1;STX11;RELA;MLLT6;RELB;MUC1;DNAJB6;CCL5;CCL4;GBP1;CD55;SPAG9;IL32;SEC24A;GCH1;CCL20;CD70;RFTN1;GZMB;CFLAR;SOD2;MARCKS;SPSB1;KLF5;TNIP1;CLCF1;IL2RA;TNIP3;FAS;IL18R1
NUCKS1 24931609 ChIP-Seq HEPATOCYTES Mouse	59/588	7.53363860113673E-21	2.429598448866595E-18	0	0	4.189567267408007	194.12321730467752	CDKN1A;TFRC;CSF1;CD82;ZFAND5;BHLHE41;TNFAIP3;ADM;PTPRJ;WASL;ICAM1;PIM1;MAP3K8;NBN;JUNB;JAK1;ARHGEF11;TGIF1;DUSP5;TLE1;DUSP1;RIPK2;TAP1;DUSP8;F3;IRF1;DDIT4;MET;ATF3;BIRC2;RHOQ;PPP1R15A;RALA;CEBPB;PFKFB3;SLC3A2;FOXO3;NDRG1;RELA;RELB;SOCS3;SH3BP5;MCL1;SPAG9;PLK3;STAT3;CFLAR;FBXO32;SOD2;NFKB1;NFKB2;NFKBIA;BAMBI;MAFG;BHLHE40;BCL3;REL;TRIP10;DCP1A
TCF21 26020271 ChIP-Seq SMOOTH MUSCLE Human	117/2000	1.995304379588454E-20	4.289904416115176E-18	0	0	2.44258872651357	110.79803578798935	CSF1;CD82;UXS1;BACH1;PVR;TSKU;MT2A;ZC3H12A;FAM65C;MAP3K8;IER5;JUNB;TMOD3;ARID5A;FNDC3B;VRK2;GEM;NINJ1;DDIT4;ATF3;HIST1H2BD;PLA1A;PTGES;KCNE1;UBR4;GPR84;NDRG1;RASGRP1;SOCS3;CHST11;HIVEP1;MSC;ST3GAL1;MCL1;BCL9L;PLK3;GADD45B;NEK7;ZBTB10;EHD1;ISG20;NFKBIA;SLC6A6;NR4A1;H1F0;IL6;NR4A3;COL5A3;BHLHE40;BCL3;HBP1;PLEKHM3;NFE2L2;CSRNP1;CDKN1A;CLIC4;DYRK3;BTG1;ALAS1;ITGB3;BHLHE41;TCHH;TNFAIP3;ADM;CXCL2;PANX1;CASP7;C1QTNF1;HEY1;NFKBIZ;PDE4B;ITGB8;LRRFIP2;CYTIP;RAB8B;TGIF1;KDM6B;DUSP5;BATF3;EDN1;PTGIR;CHST7;DTX3L;DYNLT1;DUSP1;SPHK1;RHBDF2;PTGR1;ADORA2A;IRF1;CNKSR3;CLDN12;ANGPTL4;ARHGEF2;PTGER4;SLFN5;GRAMD1A;SLC43A2;PAPLN;USP12;PPM1K;THBS1;AKAP2;STX11;RELA;OGFRL1;MICALL1;IL32;MYO10;WTAP;CCL20;CFLAR;SPSB1;KLF6;TNIP1;COL7A1;OTUD1
FOXO1 25302145 ChIP-Seq T-LYMPHOCYTE Mouse	112/2000	4.563265230463998E-18	7.358265184123197E-16	0	0	2.338204592901879	93.36098629849413	CD83;CD82;PRDM1;GABPB1;SAT1;ETS2;ICAM1;HELB;AKT3;DPYSL3;ZC3H12A;PIM1;FAM65C;PIM2;IER5;ARRDC3;ARID5A;ARID5B;ADAM19;DDIT4;ENTHD1;PHIP;SIK1;SQSTM1;FOXO3;STK4;RAP1B;SOCS3;HIVEP1;HIVEP2;MCL1;SLAMF1;ABCA1;MGEA5;CEP350;NEK7;ISG20;NR4A2;NFKBIA;NR4A1;NR4A3;ATG2A;HBP1;MXD1;IL7R;PLEKHM3;LMBR1L;BTG3;CSRNP1;BTG1;ITGB3;BHLHE41;TNFAIP3;N4BP2L1;LYST;PANX1;GPR132;ARL5B;SIPA1L1;HEY1;NFKBIZ;NCK2;CCR7;CYTIP;JAK1;DUSP4;ARHGEF11;TGIF1;KDM6B;DTX3L;TRAF1;SERPINB7;PARP9;RAP2C;ADORA2A;IFNG;IRF4;IRF1;CNKSR3;IRF2;BIRC2;BIRC3;SLFN5;GRAMD1A;USP12;DENND3;SLC3A2;AKAP2;MLLT6;RAB20;CCL5;STAT4;SH3BP5;CCL3;CD55;MYO10;GCH1;SMOX;GZMB;CFLAR;PNRC1;FMNL3;MARCKS;KLF6;ZNFX1;TNIP1;TNIP2;CLCF1;IL2RA;FAS;OTUD1;IL18R1
ATF3 23680149 ChIP-Seq GBM1-GSC Human	114/2189	4.590781680282629E-16	5.922108367564591E-14	0	0	2.174470759567433	76.79646046227143	TMEM140;SAT1;ETS2;NIPAL4;MT2A;ZC3H12A;PIM1;FAM65C;HIST1H2AC;PPTC7;ACSL1;ARRDC3;TM4SF1;GEM;NINJ1;HIST1H2BG;RHCG;SQSTM1;ATF3;HIST1H2BD;IDO1;PLA1A;HIST1H2BC;CASZ1;PFKFB3;TWIST1;SLC1A3;GPR84;SAV1;SBNO2;IRAK2;PMAIP1;ST3GAL1;MCL1;PLK3;GADD45B;TNFRSF9;GFPT2;TFPI2;HSPA6;ZBTB10;INHBA;FBXO32;ISG20;SLC6A6;IL6;NR4A3;BHLHE40;MAFF;SNAI1;HBP1;MXD1;IL7R;NFE2L2;HIST2H2AA3;CSRNP1;CDKN1A;CLIC4;DYRK3;HIST2H2AA4;BTG1;ITGB3;ADM;SLC7A11;KYNU;NFKBIZ;ANKRD1;PDE4B;UPP1;DUSP4;KDM6B;DUSP5;EDN1;CHST7;DUSP1;MMP1;SPHK1;DYNLT3;TRAF1;AMPD3;OXSR1;COQ10B;F3;LSS;MMP10;HIST2H2BE;CNKSR3;CLDN12;IRF2;BIRC2;RHOQ;PPP1R15A;PPP1R15B;CEBPB;CLDND1;TRIM16L;HIST1H2BJ;DENND3;AKAP2;MUC1;SH3BP5;CCL3;GBP1;CD55;STAT3;OSM;CFLAR;SPSB1;KLF6;KLF5;TNIP1;CLCF1;COL7A1;CRLF2
UBF1/2 26484160 Chip-Seq HMECs Human	105/2000	5.5161891620729935E-15	5.929903349228468E-13	0	0	2.1920668058455113	71.96794070842837	CSF3;SERPINE2;CSF1;RNF19B;ZC3H12C;ZC3H12A;MAP3K8;IER5;JUNB;TNFRSF4;IER3;IL15RA;MREG;FNDC3B;ARID5B;VRK2;GPD2;DDIT4;CMPK2;HIST1H2BD;CASZ1;PFKFB3;TMEM63B;FOXO3;CYP27B1;SOCS3;RNF213;CHST11;TP53BP2;MCL1;ABCA1;PLK3;MGEA5;GADD45B;LHFP;CEP350;RDX;HSPA6;INHBA;PARP14;NFKB1;NFKB2;ABTB2;NR4A3;BHLHE40;BCL3;ATG2A;TNFSF9;TMCC3;HIST2H2AA3;CSRNP1;CDKN1A;CLIC4;ITGB3;BHLHE41;TCHH;TNFAIP3;PTPRJ;CXCL1;AFF4;PANX1;CASP7;C1QTNF1;KYNU;PDE4B;UPP1;DUSP4;DUSP5;MMP7;SPHK1;RHBDF2;SERPINB9;TRAF1;SERPINB7;F3;MTF1;IRF1;ARHGEF2;PPP1R15B;RALA;CEBPB;SLC43A2;PAPLN;NLRC5;DENND3;PPM1K;TANK;MLLT6;MUC1;RAB20;DRAM1;DNAJB6;MICALL1;CKB;MPZL1;CD55;GPR157;MYO10;RFTN1;OSM;PDE4DIP;MARCKS;SPSB1;KLF6;OTUD1
FOXA1 26769127 Chip-Seq PDAC-Cell line Human	105/2000	5.5161891620729935E-15	5.082774299338687E-13	0	0	2.1920668058455113	71.96794070842837	TRAF3IP2;RNF19B;PRDM1;GABPB1;ETS2;ZC3H12C;MT2A;HELB;AKT3;ZC3H12A;NAMPT;IL12B;MAP3K8;NBN;IER5;JUNB;MREG;ARRDC3;ARID5B;DDIT4;CMPK2;RHCG;OPTN;ATF3;PFKFB3;UBR4;FOXO3;SLC5A3;SAV1;CYP27B1;HIVEP1;PMAIP1;ST3GAL1;MCL1;BCL9L;PLK3;GADD45B;CEP350;RDX;NEK7;CRIM1;EHD1;ISG20;BAMBI;BHLHE40;BCL2;TMCC3;MXD1;NFE2L2;HIST2H2AA3;LAD1;BTG1;ITGB3;BHLHE41;ADM;N4BP2L1;SLC7A11;LYST;CXCL5;PANX1;ARL5B;RASGEF1B;ANKRD1;DUSP5;BATF3;RIPK2;AMPD3;F3;MMP10;HIST2H2BE;IRF1;BIRC2;BIRC3;PTGER4;PPP1R15B;SLFN5;GRAMD1A;CEBPB;PAPLN;USP12;FAM129A;SLC3A2;PPM1K;PTGS2;TANK;THBS1;RELA;MLLT6;STRN3;MUC1;RAB20;DRAM1;GBP1;MPZL1;SPAG9;MYO10;G0S2;PDE4DIP;SPSB1;KLF6;RIT1;ZNFX1;CLCF1;KBTBD2;AGRN
SMRT 22465074 ChIP-Seq MACROPHAGES Mouse	103/2000	3.747801945154035E-14	3.021665318280441E-12	0	0	2.150313152400835	66.47697794404482	FAM49A;CD86;IL1RN;CSF2;CD80;ZFAND5;RNF19B;TNF;ETS2;CXCL16;GPBP1;ZC3H12A;PIM1;MAP3K8;PIM3;IER5;TLE1;PPTC7;ARID5A;TM4SF1;IL23A;NINJ1;SIK1;RHCG;SQSTM1;ATF3;CD274;RAP1B;SBNO2;CHST11;HIVEP1;HIVEP2;ST3GAL1;GADD45B;CEP350;NFKB2;NR4A2;MAFG;MAFF;BCL3;REL;BCL2;TMCC3;IL7R;PLEKHM3;CDKN1A;CD40;DYRK3;BTG1;ITGB3;PRKAG2;TNFAIP3;N4BP2L1;CXCL1;SLC2A6;CXCL2;AFF4;CASP7;AIFM2;NFKBIZ;TRIM69;LRRFIP2;CYTIP;TGIF1;KDM6B;DUSP5;EDN1;RHBDF2;TBC1D9;AMPD3;PTGR1;IL1B;IRF1;CNKSR3;ANGPTL4;ARHGEF2;CD44;B4GALT5;FYTTD1;PPP1R15B;SLFN5;SAMD8;SLC43A2;PAPLN;FAM129A;PTGS2;STX11;STRN3;GNA13;OGFRL1;DRAM1;DNAJB6;CCL5;CCL4;STAT4;CCL3;OSM;G0S2;CFLAR;PNRC1;MARCKS;TNIP1;CRLF2
MYB 26560356 Chip-Seq TH2 Human	103/2000	3.747801945154035E-14	2.685924727360392E-12	0	0	2.150313152400835	66.47697794404482	CSF3;IL1RN;CSF2;CD82;UXS1;PRDM1;TMEM140;SAT1;EPSTI1;PIM1;MAP3K8;PIM2;IER5;JUNB;MREG;ARID5A;ARID5B;ODF3B;KCNE1;ITPR1;SLC1A3;FOXO3;SLC5A3;RASGRP1;RNF213;CHST11;HIVEP1;SLAMF7;PMAIP1;HIVEP2;ST3GAL1;ZNF267;SLAMF1;BANP;PPP4R1L;ZBTB17;MGEA5;CEP350;HSPA6;FBXO32;PARP10;ISG20;NFKBIA;NR4A3;BHLHE40;BCL3;BCL2;HBP1;IL7R;NFE2L2;CXCL6;SMG1;BTG1;LYST;GPR132;ARL5B;CCR7;RAB8B;KDM6B;DUSP5;BATF3;AMPD3;OXSR1;TMEM173;COQ10B;HIST2H2BE;RNF144B;ADORA2A;SLCO4A1;IRF4;IL1B;ARHGEF2;CHST2;RHOQ;CD44;PPP1R15A;PTGER4;PPP1R15B;SLFN5;CEBPB;BCL2A1;HIST1H2BJ;DENND3;PPM1K;IL2RG;RELA;MLLT6;STRN3;MUC1;FBRS;GBP4;CD55;IL32;STAT3;RFTN1;OSM;PDE4DIP;CFLAR;KLF6;ZNFX1;IL2RA;OTUD1;IL18R1
KDM2B 26808549 Chip-Seq DND41 Human	103/2000	3.747801945154035E-14	2.4173322546243527E-12	0	0	2.150313152400835	66.47697794404482	CD82;ZFAND5;RNF19B;TSKU;AKT3;ZC3H12A;PIM1;PIM3;FBXO6;DENND5A;IER5;JUNB;TNFRSF4;IL15RA;ARID5A;ARID5B;DDIT4;SIK1;PTGES;PFKFB3;UBR4;ITPR1;LYPD3;FOXO3;SOCS3;CHST11;HIVEP1;TP53BP2;HIVEP2;MCL1;BCL9L;PLK3;ZBTB17;MGEA5;GADD45B;BCL11A;NEK7;ZBTB10;NFKB2;ABTB2;PARP10;NR4A2;NR4A1;NR4A3;MAFG;BHLHE40;BCL3;TNFSF9;NFE2L2;CDKN1A;CLIC4;BHLHE41;ADM;PTPRJ;LYST;C1QTNF1;HEY1;AIFM2;RASGEF1B;NFKBIZ;TRIM69;JAK1;KDM6B;DUSP5;BATF3;DTX3L;SPHK1;TNFRSF18;RHBDF2;F3;IGFN1;ADORA2A;ARHGEF2;BIRC2;CD44;FAM60A;PTGER4;PPP1R15B;SAMD8;SLC43A2;RELA;MLLT6;MUC1;CD58;FBRS;MPZL1;CD55;GPR157;IL32;GCH1;SMOX;RFTN1;OSM;PDE4DIP;CFLAR;SPSB1;KLF6;P2RX4;CLCF1;RAB12;IL2RA;AGRN;IL18R1
