Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
SP140 KD PBMC HUMAN GSE83381 RNASEQ DOWN	101/403	1.4718968005189268E-74	2.881973935416059E-71	0	0	10.464315131296072	1778.9832252031895	IL1RN;SAMD9L;CD83;TFRC;CSF1;CD80;ZFAND5;RNF19B;DDX60L;TMEM140;ICAM1;NAMPT;PIM3;ACSL1;FNDC3B;XRN1;GPD2;NINJ1;CMPK2;CLEC4E;SQSTM1;OPTN;ATF3;CFB;IDO1;ARL8B;CES1;SMIM3;CD274;PFKFB3;UBR4;CSF2RB;TXN;SLC5A3;RAP1B;RNF213;CHST11;UBD;SLAMF7;ST3GAL1;ABCA1;GADD45B;RDX;PARP14;NFKB2;NFKBIA;BHLHE40;MXD1;NFE2L2;CDKN1A;SMG1;CLIC4;ALAS1;TNFAIP6;TNFAIP3;PTPRJ;PPP1R18;SLC2A6;AFF4;KYNU;CCR7;RAB8B;ARHGEF11;RIPK2;RHBDF2;LSS;PLSCR1;IRF1;RAPGEF2;CD44;B4GALT5;PPP1R15A;PTGER4;SLFN5;GRAMD1A;CEBPB;C1S;BCL2A1;SLC3A2;GNA13;OGFRL1;RAB20;CCL5;CCL4;CCL3;GBP1;GBP4;IL32;GK;GCH1;WTAP;SGTB;PDE4DIP;CFLAR;SOD2;MARCKS;KLF6;ZNFX1;P2RX4;AGRN;GRINA
MYB OE HUMAN GSE2816 CREEDSID GENE 2154 DOWN	86/469	3.842016028604948E-51	3.7613336920042446E-48	0	0	7.656320247851112	888.7903864707257	CD86;CSRNP1;IL1RN;CD40;CLIC4;BTG1;CD83;TFRC;TNFAIP6;CD80;TNFAIP3;ADM;SLC7A11;SAT1;SLC2A6;CXCL16;LAMP3;KYNU;NAMPT;EPSTI1;MIR22HG;ITGB8;PIM3;CCR7;CYTIP;IER5;IER3;ACOT9;CHST7;MMP7;DTX3L;DYNLT1;ACSL1;TAP1;TBC1D9;PLSCR1;NINJ1;CMPK2;CLEC4E;ATF3;CFB;IDO1;BIRC3;B4GALT5;PPP1R15A;CD274;PPP1R15B;CEBPB;RALA;PFKFB3;BCL2A1;EBI3;HIST1H2BK;CSF2RB;TXN;SLC5A3;TANK;THBS1;OGFRL1;CCL5;CCL4;CCL3;SLAMF7;GBP1;GADD45B;WTAP;RDX;RFTN1;CRIM1;G0S2;CFLAR;SOD2;NFKB1;PNRC1;ISG20;NFKBIA;MARCKS;KLF6;ZNFX1;P2RX4;NR4A3;TNIP1;IL2RA;MAFF;IL7R;OTUD1
IRF1 OE HUMAN GSE26817 CREEDSID GENE 2502 UP	68/383	2.265909372080753E-39	1.4788835168447048E-36	0	0	7.413181290438632	659.6459428917808	HIST2H2AA3;CXCL6;CD40;SAMD9L;HIST2H2AA4;CXCL8;CSF1;TNFAIP3;DDX60L;ADM;N4BP2L1;CXCL1;TMEM140;CXCL2;CXCL5;MT2A;LAMP3;KYNU;ZC3H12A;NFKBIZ;EPSTI1;DENND5A;MAP3K8;NBN;PIM2;HIST1H2AC;BATF3;DTX3L;IL15;RIPK2;TAP1;TBC1D9;PARP9;PLSCR1;XRN1;IRF1;CMPK2;HIST1H2BG;OPTN;CFB;HIST1H2BD;IDO1;PLA1A;BIRC3;TRIM56;IGSF3;HIST1H2BJ;EBI3;HIST1H2BK;TNFRSF11B;ITPR3;HELZ2;RNF213;DRAM1;UBD;CCL5;PMAIP1;PI3;GBP1;GBP4;GCH1;LUM;PARP14;PARP10;ISG20;ZNFX1;SSPN;IL18R1
ZXDC DEPLETION HUMAN GSE45417 CREEDSID GENE 3044 DOWN	62/316	1.4221632566825933E-38	6.961489141461294E-36	0	0	8.19217251129727	713.9155113334365	CD86;CDKN1A;CD83;CXCL8;CD82;TNFAIP3;ADM;SLC7A11;TMEM140;PPP1R18;SAT1;FCAR;ICAM1;CXCL16;ZC3H12C;MT2A;DPYSL3;PIM1;MIR22HG;UPP1;CYTIP;IER3;DUSP4;DUSP5;CHST7;MREG;MMP7;MMP1;ARRDC3;RHBDF2;IL1B;NINJ1;DDIT4;ENTHD1;ATF3;CHST2;CD44;PPP1R15A;SLFN5;KCNE1;CEBPB;BCL2A1;ITPR1;GPR84;NDRG1;CCL4;CCL3;SLAMF7;CD55;ABCA1;CCL20;FBXO32;SPSB1;NR4A3;P2RX4;BHLHE40;MAFF;SNAI1;CYSTM1;MXD1;IL7R;CPEB2
ZNF207 OE HUMAN GSE9951 CREEDSID GENE 1581 DOWN	64/360	4.30932164532516E-37	1.6875303563093326E-34	0	0	7.422871723498029	621.5531835021267	BTG1;CD83;CXCL8;TNFAIP3;ADM;CXCL1;SLC7A11;CXCL3;PALM2-AKAP2;CXCL2;PANX1;ARL5B;NAMPT;EPSTI1;MIR22HG;DUSP4;DUSP5;EDN1;ACSL1;DUSP1;SPHK1;ELOVL7;OXSR1;SERPINB7;TM4SF1;GEM;EREG;GREM1;CCNA1;IL1B;CMPK2;ANGPTL4;CHST2;HBEGF;B4GALT5;CD274;SAMD8;PFKFB3;BCL2A1;LYPD3;PTGS2;NDRG1;STX11;HIVEP1;ST3GAL1;GBP1;CD55;GPR157;GCH1;CCL20;GFPT2;IL36G;G0S2;INHBA;NFKB1;EHD1;NR4A2;IL6;KLF5;CLCF1;MAFF;TMCC3;FAS;FERMT2
TFAP2C KD HUMAN GSE15481 CREEDSID GENE 2970 UP	54/296	5.998451292230595E-32	1.957494605031251E-29	0	0	7.617220560853129	547.6112917571097	ERO1A;HIST2H2AA4;CXCL8;ZBED6CL;TNFAIP6;TNFAIP3;ADM;CXCL1;SLC7A11;SAT1;CASP7;KYNU;ZC3H12A;NAMPT;PIM1;ITGB8;DENND5A;MAP3K8;ARRDC3;PTGR1;HIST2H2BE;GEM;DDIT4;ANGPTL4;RHCG;CFB;HIST1H2BD;HIST1H2BC;BIRC3;SLFN5;CEBPB;PFKFB3;C1S;NLRC5;TNFRSF11B;PTGS2;RASGRP1;UBD;CCL3;PMAIP1;CKB;PI3;ZNF267;CD55;IL32;CCL20;GFPT2;LRRC61;INHBA;PNRC1;RIT1;IL6;MARCKS;LRP12
SPDEF KD HUMAN GSE40985 CREEDSID GENE 2606 UP	57/350	5.797257180079648E-31	1.621575651227993E-28	0	0	6.799880703847301	473.4264145177216	LAD1;SERPINE2;RNF19B;TNFAIP3;MSANTD3;DDX60L;ADM;SLC7A11;TMEM140;PPP1R18;ETS2;ICAM1;LAMP3;ZC3H12A;MIR22HG;UPP1;JUNB;IER5;IER3;DUSP5;EDN1;DTX3L;SPHK1;RHBDF2;TAP1;PARP9;GEM;PLSCR1;IRF1;CMPK2;SIK1;OPTN;ATF3;PTGES;TRIM56;PPP1R15A;FAM129A;SLC3A2;RASGRP1;RELB;HELZ2;CCL5;ST3GAL1;GBP1;TFPI2;CRIM1;PARP14;ISG20;SPSB1;IL6;KLF6;ZNFX1;BAMBI;BHLHE40;MAFF;FAS;OTUD1
TFAP2C SIRNA HUMAN GSE15481 CREEDSID GENE 2895 UP	52/307	3.758371826983169E-29	9.198615046541306E-27	0	0	7.072280062290466	462.88767405128885	ERO1A;HIST2H2AA4;CXCL8;ZBED6CL;TNFAIP6;TNFAIP3;ADM;CXCL1;SAT1;CASP7;KYNU;ZC3H12A;NAMPT;PIM1;ITGB8;DENND5A;MAP3K8;ARRDC3;PTGR1;HIST2H2BE;GEM;DDIT4;ANGPTL4;RHCG;CFB;HIST1H2BD;HIST1H2BC;BIRC3;SLFN5;CEBPB;PFKFB3;C1S;NLRC5;TNFRSF11B;PTGS2;RASGRP1;CCL3;PMAIP1;CKB;PI3;ZNF267;CD55;GK;CCL20;GFPT2;LRRC61;INHBA;PNRC1;RIT1;IL6;MARCKS;LRP12
REST SIRNA MDAMB231 HUMAN GSE63609 RNASEQ UP	55/358	1.4372510445188972E-28	3.126819494631112E-26	0	0	6.414667428651404	411.24208571582125	ERO1A;CLIC4;SAMD9L;CXCL8;DDX60L;CXCL1;UBE2Z;CASP7;SIPA1L1;NAMPT;TRIM69;ITGB8;DENND5A;DTX3L;RIPK2;ARRDC3;FNDC3B;PARP9;ADAM19;PLSCR1;XRN1;IL1B;CMPK2;SQSTM1;ATF3;CD44;IDO1;CHMP5;BIRC3;B4GALT5;SLFN5;SLC3A2;AKAP2;ARNTL2;RAP1B;RNF213;DNAJB6;PMAIP1;ST3GAL1;GBP1;CD55;MCL1;ABCA1;SPAG9;GCH1;RDX;TFPI2;CRIM1;INHBA;PARP14;SOD2;NFKBIA;KLF6;ZNFX1;IL7R
CEBPA KO MOUSE GSE61468 CREEDSID GENE 1476 UP	46/238	1.8337207158651242E-28	3.590425161663913E-26	0	0	8.070033859055105	515.4010691143937	SMIM3;PPP1R15A;CSRNP1;GRAMD1A;SAMD9L;BTG1;RNF19B;TNFAIP3;IL2RG;CXCL2;AFF4;RELB;ARL5B;SIPA1L1;RASGEF1B;CCL5;NFKBIZ;PIM1;PDE4B;HIVEP2;PIM2;UPP1;CYTIP;JUNB;IER5;SLAMF1;DUSP4;KDM6B;PLK3;GADD45B;GCH1;MYO10;ZBTB10;GZMB;GEM;NFKBIA;PLSCR1;MARCKS;KLF6;BHLHE40;MAFF;BCL3;REL;CLEC4E;ATF3;IL18R1
