Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
cytokine-mediated signaling pathway (GO:0019221)	84/633	1.2172198859763458E-38	6.211473078137293E-35	0	0	5.540769177492605	483.7183693530008	CD86;CXCL6;CDKN1A;CSF3;IL1RN;CD40;CSF2;CXCL8;CSF1;CD80;CXCL1;CXCL3;TNF;CXCL2;CXCL5;ICAM1;MT2A;PIM1;IL12B;MAP3K8;JUNB;TNFRSF4;JAK1;IL15RA;RIPK2;IL15;MMP1;TNFRSF18;EREG;IL1A;IFNG;IL23A;IRF4;IL1B;IRF1;IL3RA;IRF2;SQSTM1;BIRC2;CD44;BIRC3;RALA;CCL3L1;EBI3;TWIST1;TNFRSF11B;CSF2RB;PTGS2;FOXO3;IL2RG;TANK;RELA;RAP1B;SOCS3;MUC1;IRAK2;CCL5;CCL4;STAT4;CCL3;GBP1;MCL1;IL32;CCL20;CD70;TNFRSF9;STAT3;OSM;IL36G;IFNLR1;SOD2;NFKB1;ISG20;NFKBIA;IL6;TNIP2;CLCF1;IL2RA;BCL2;TNFSF9;FAS;IL7R;IL18R1;CRLF2
cellular response to cytokine stimulus (GO:0071345)	62/456	4.409330623845247E-29	1.1250407086741147E-25	0	0	5.677031828004249	370.6604748472377	CD86;CDKN1A;CSF3;IL1RN;CSF2;CXCL8;CSF1;CD80;CXCL1;TNF;CXCL2;ICAM1;MT2A;DPYSL3;ZC3H12A;PIM1;ANKRD1;IL12B;CCR7;JUNB;JAK1;MMP1;EREG;IL1A;IL23A;IRF4;IL1B;IRF1;IL3RA;ARHGEF2;CCL3L1;TWIST1;CSF2RB;PTGS2;FOXO3;IL2RG;TANK;RELA;SOCS3;SBNO2;MUC1;IRAK2;CCL5;CCL4;STAT4;CCL3;CD58;MCL1;IL32;CCL20;STAT3;OSM;IL36G;IFNLR1;NFKB1;IL6;CLCF1;IL2RA;BCL2;IL18R1;CRLF2;NFE2L2
inflammatory response (GO:0006954)	36/252	5.851681764197429E-18	9.953710680899826E-15	0	0	5.964807634953773	236.68238934031868	PTGER4;CXCL6;CD40;CEBPB;CXCL8;CCL3L1;TNFAIP6;TNFRSF11B;CXCL1;CXCL3;TNF;CXCL2;THBS1;RELA;CXCL5;RELB;CCL5;CCL4;CCL3;CCR7;TNFRSF4;PTGIR;RIPK2;CCL20;TNFRSF9;TNFRSF18;STAT3;NFKB1;NFKB2;IL1A;IL6;ADORA2A;IL1B;IL2RA;REL;FAS
response to lipopolysaccharide (GO:0032496)	29/155	6.088672154031605E-18	7.767623500505819E-15	0	0	7.811973870294296	309.6674383294316	CD86;CD274;CXCL6;CD40;CXCL8;CD80;TNFAIP3;TNFRSF11B;CXCL1;CXCL3;CXCL2;CXCL5;CYP27B1;SBNO2;ZC3H12A;PDE4B;ANKRD1;JUNB;TNFRSF4;GCH1;TNFRSF9;TNFRSF18;TICAM1;NFKB1;IL6;TNIP1;TNIP2;TNIP3;FAS
positive regulation of transcription, DNA-templated (GO:0045893)	73/1120	4.753204935268278E-15	4.851120956934804E-12	0	0	2.721443483447659	89.75308982723078	CD86;CSRNP1;CSF3;CD40;CD80;AHR;GABPB1;TNF;ETS2;HEY1;ZC3H12A;NAMPT;NCK2;PIM2;IER5;JUNB;ARHGEF11;KDM6B;EDN1;DTX3L;RIPK2;TMEM173;PARP9;GREM1;PLSCR1;IRF4;MTF1;IL1B;IRF1;IRF2;PHIP;ARHGEF2;SQSTM1;MET;ATF3;RHOQ;CEBPB;CASZ1;NLRC5;TWIST1;FOXO3;ARNTL2;RELA;RELB;HELZ2;SBNO2;NDP;BCL9L;ZBTB17;STAT3;OSM;PBX4;INHBA;NFKB1;BMP6;NFKB2;NR4A2;NFKBIA;NR4A1;KLF6;IL6;KLF5;NR4A3;TNIP1;BAMBI;TNIP2;TNIP3;MAFF;BCL3;SNAI1;REL;AGRN;NFE2L2
regulation of cell proliferation (GO:0042127)	57/740	6.30902843550009E-15	5.3658286843928265E-12	0	0	3.21615979236021	105.15811646091355	CD86;BTG3;CXCL6;CDKN1A;CSF3;CD40;BTG1;CXCL8;CSF1;PTPRJ;CXCL1;CXCL3;CXCL2;CXCL5;NAMPT;NCK2;PIM2;IER5;JUNB;TNFRSF4;HIST1H2AC;JAK1;EDN1;IL15;TNFRSF18;EREG;GREM1;IL1A;IFNG;IL1B;IRF1;RAPGEF2;PHIP;ARHGEF2;BIRC2;HBEGF;CCL3L1;TNFRSF11B;THBS1;RELA;CYP27B1;SLAMF1;ZBTB17;TNFRSF9;OSM;IFNLR1;INHBA;SOD2;IL6;NR4A3;BAMBI;CLCF1;BHLHE40;FAS;INSM1;IL7R;CRLF2
cellular response to lipopolysaccharide (GO:0071222)	20/91	3.5365403857330447E-14	2.5781379411993895E-11	0	0	9.176627130698112	284.22806070153587	CD86;CXCL6;CD274;CXCL8;CD80;TNFAIP3;TICAM1;TNF;NFKB1;SBNO2;IL6;TNIP1;TNIP2;IL1B;CCL5;TNIP3;ZC3H12A;PDE4B;ANKRD1;CCL3
positive regulation of transcription from RNA polymerase II promoter (GO:0045944)	60/848	5.081338204009227E-14	3.241258606882386E-11	0	0	2.9542679324063497	90.43196315741535	CSRNP1;CSF3;CD40;AHR;GABPB1;TNF;HEY1;ZC3H12A;NAMPT;NCK2;IER5;JUNB;KDM6B;EDN1;RIPK2;TMEM173;GREM1;PLSCR1;IRF4;MTF1;IRF1;IRF2;PHIP;ARHGEF2;SQSTM1;MET;ATF3;RHOQ;CEBPB;NLRC5;TWIST1;FOXO3;ARNTL2;RELA;RELB;HELZ2;MUC1;SBNO2;BCL9L;ZBTB17;STAT3;OSM;INHBA;NFKB1;BMP6;NFKB2;NR4A2;NFKBIA;NR4A1;KLF6;IL6;KLF5;NR4A3;TNIP1;TNIP2;TNIP3;MAFF;REL;AGRN;NFE2L2
regulation of transcription from RNA polymerase II promoter (GO:0006357)	83/1478	2.0872620130492577E-13	1.1834775613989292E-10	0	0	2.3447586169879173	68.46168304520619	CSRNP1;CDKN1A;CSF3;CD40;BHLHE41;AHR;PRDM1;GABPB1;BACH1;TNF;ETS2;HEY1;ZC3H12A;NAMPT;NFKBIZ;NCK2;ANKRD1;IER5;JUNB;FOXD4;TGIF1;KDM6B;BATF3;EDN1;RIPK2;ARID5A;ARID5B;TMEM173;PARP9;ETV3;GREM1;PLSCR1;IFNG;IRF4;MTF1;IRF1;IRF2;PHIP;ARHGEF2;SQSTM1;MET;ATF3;RHOQ;CEBPB;NLRC5;TWIST1;FOXO3;ARNTL2;RELA;RELB;HELZ2;MUC1;SBNO2;HIVEP1;BCL9L;PLK3;ZBTB17;BCL11A;STAT3;OSM;INHBA;SOD2;NFKB1;BMP6;NFKB2;NR4A2;NFKBIA;NR4A1;KLF6;IL6;KLF5;NR4A3;TNIP1;TNIP2;TNIP3;BHLHE40;MAFF;SNAI1;REL;INSM1;AGRN;MXD1;NFE2L2
response to cytokine (GO:0034097)	23/138	2.25192500564687E-13	1.1491573303815977E-10	0	0	6.958942240779401	202.65706889646606	CD274;CSF3;GCH1;STAT3;IFNLR1;RELA;CXCL16;NFKB2;RELB;CYP27B1;PLSCR1;IRAK2;LAMP3;UBD;KYNU;DPYSL3;BCL2;REL;CCR7;JUNB;IL18R1;MCL1;TRIM56
