Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
cytokine activity (GO:0005125)	24/155	7.185812061939661E-22	8.27086968329255E-19	0	0	15.483870967741936	753.828596297525	CXCL6;IL1RN;EDN1;CSF2;CXCL8;CCL3L1;CCL20;OSM;IL36G;CXCL1;INHBA;CXCL3;TNF;CXCL2;BMP6;IL1A;IL6;IL1B;CCL5;CLCF1;CCL4;CCL3;IL12B;NDP
chemokine activity (GO:0008009)	10/46	2.3779804073863194E-11	1.3685277244508268E-8	0	0	21.73913043478261	531.7866187785675	CXCL6;CXCL8;CCL3L1;CCL20;CCL5;CCL4;CCL3;CXCL1;CXCL3;CXCL2
chemokine receptor binding (GO:0042379)	10/49	4.6709534322438184E-11	1.7920891335042116E-8	0	0	20.408163265306122	485.45046553085075	CXCL6;CXCL8;CCL3L1;CCL20;CCL5;CCL4;CCL3;CXCL1;CXCL3;CXCL2
cytokine receptor binding (GO:0005126)	12/137	1.3398614734920289E-8	3.855451389973313E-6	0	0	8.75912408759124	158.78640449627247	IL1A;IL1RN;IL6;IL1B;CCL5;CLCF1;OSM;IL12B;IL36G;TNFSF9;INHBA;BMP6
CXCR chemokine receptor binding (GO:0045236)	5/17	5.33779780081584E-7	1.2287610537478063E-4	0	0	29.411764705882355	424.80242587929854	CXCL6;CXCL8;CXCL1;CXCL3;CXCL2
growth factor activity (GO:0008083)	7/69	5.748636941791376E-6	0.0011027801866669788	0	0	10.144927536231885	122.41425288986541	IL6;CLCF1;OSM;IL12B;NDP;INHBA;HBEGF
interleukin-1 receptor binding (GO:0005149)	4/15	1.2150001455530943E-5	0.0019978073821880164	0	0	26.666666666666664	301.818167156825	IL1A;IL1RN;IL1B;IL36G
transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0000982)	12/280	2.6530208826383972E-5	0.003817033794895994	0	0	4.285714285714286	45.159542222209886	NR4A2;PLSCR1;KLF6;NR4A3;KLF5;IRF1;BHLHE41;INSM1;ATF3;ARNTL2;ETS2;NFKB2
MAP kinase tyrosine/serine/threonine phosphatase activity (GO:0017017)	3/7	3.3473033797170354E-5	0.004280829100060342	0	0	42.857142857142854	441.63301733858765	DUSP4;DUSP5;DUSP1
CCR chemokine receptor binding (GO:0048020)	5/38	3.65078559882961E-5	0.004202054224252881	0	0	13.157894736842104	134.44714589446016	CCL3L1;CCL20;CCL5;CCL4;CCL3
growth factor receptor binding (GO:0070851)	7/92	3.8460203839102194E-5	0.004024335874436966	0	0	7.608695652173913	77.34913654839478	IL1A;PLSCR1;IL6;IL1B;IL12B;IL36G;HBEGF
polyubiquitin modification-dependent protein binding (GO:0031593)	5/43	6.723327393029232E-5	0.006448791524480539	0	0	11.627906976744185	111.71328238614151	TNIP1;TNIP3;TNFAIP3;SQSTM1;OPTN
RNA polymerase II core promoter proximal region sequence-specific DNA binding (GO:0000978)	11/262	6.935832812068941E-5	0.006140879666685655	0	0	4.198473282442748	40.20552199683603	NR4A2;KDM6B;KLF6;NR4A3;KLF5;IRF1;BHLHE41;INSM1;ATF3;ETS2;NFKB2
