Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NF-kappaB complex	67/864	2.0762939519141307E-41	4.74017909221996E-38	0	0	7.754629629629629	726.4180654587365	CXCL6;CD40;CD83;CSF2;CD80;TNFAIP3;CXCL1;CXCL3;TNF;CXCL2;ETS2;ICAM1;KYNU;NFKBIZ;CCR7;MAP3K8;TNFRSF4;IER3;EDN1;MMP7;DUSP1;IL15;RIPK2;MMP1;TNFRSF18;TRAF1;IL1A;IL1B;IRF1;SQSTM1;MET;OPTN;ATF3;IDO1;HBEGF;BIRC3;PTGS2;TANK;RELB;SOCS3;IRAK2;UBD;CCL5;CCL4;HIVEP1;STAT4;CCL3;HIVEP2;IL32;GADD45B;CCL20;TNFRSF9;OSM;CFLAR;SOD2;NFKB1;NFKB2;ISG20;NR4A2;NFKBIA;IL6;TNIP1;TNIP3;IL2RA;BCL3;REL;TNFSF9
interleukin-12 complex	47/504	3.952448678333584E-32	4.511720166317786E-29	0	0	9.325396825396826	674.3044088311215	CD274;CXCL6;IL1RN;CD40;CD83;CSF2;CD80;EBI3;TNFAIP3;CXCL1;PTGS2;CXCL3;TNF;CXCL2;ETS2;ICAM1;RELB;ZC3H12C;SOCS3;LAMP3;CCL5;ZC3H12A;CCL4;STAT4;PIM1;CCL3;IL12B;CCR7;MAP3K8;TNFRSF4;GADD45B;IL15;CCL20;LHFP;TNFRSF9;HSPA6;NFKB1;NFKBIA;IL1A;IL6;TNIP1;IL1B;IRF1;IL2RA;IL3RA;REL;TNFSF9
Fatty acid synthase complex	46/607	1.7233407113927603E-27	1.3114622813698907E-24	0	0	7.57825370675453	467.01392259757716	BTG3;CD274;CD40;CD83;CSF2;CD80;TNFAIP3;CXCL1;PTGS2;TNF;TANK;CXCL2;ICAM1;SOCS3;CCL5;CCL4;CCL3;CCR7;TNFRSF4;IER3;MMP7;GK;ACSL1;DUSP1;IL15;RIPK2;MMP1;TNFRSF9;TNFRSF18;SERPINB9;TRAF1;CFLAR;NFKB1;HIST2H2BE;NFKB2;NFKBIA;IL1A;IL6;IL1B;IRF1;IL2RA;IL3RA;REL;TNFSF9;MET;BIRC3
interleukin-23 complex	38/456	3.645151372006155E-24	2.080470145572513E-21	0	0	8.333333333333332	449.73870282156383	CD274;IL1RN;CD40;CD83;CSF2;CD80;TNFAIP3;CXCL1;PTGS2;CXCL3;TNF;CXCL2;ICAM1;ZC3H12C;SOCS3;CCL5;ZC3H12A;CCL4;STAT4;CCL3;IL12B;CCR7;TNFRSF4;IL15RA;IL15;CCL20;LHFP;NFKB1;NFKB2;NFKBIA;IL1A;IL6;TNIP1;IL1B;IRF1;IL2RA;REL;IDO1
Bcl-2 family protein complex	53/1233	4.0384487253673274E-20	1.8439556880027217E-17	0	0	4.29845904298459	191.9513045164114	CD40;CD83;CSF2;CD80;TNFAIP3;ADM;CXCL1;TNF;ICAM1;MT2A;CCR7;PIM3;TNFRSF4;IER3;IL15RA;EDN1;MMP7;DUSP1;IL15;MMP1;SPHK1;SERPINB9;TRAF1;IL1A;IL1B;IRF1;SQSTM1;MET;ATF3;BIRC3;PPP1R15A;CD274;PTGS2;TANK;RELB;SOCS3;CCL5;CCL3;IL32;GADD45B;TNFRSF9;CFLAR;SOD2;NFKB1;NFKB2;NR4A2;NFKBIA;IL6;KLF6;IL2RA;BCL3;REL;GRINA
BCL-2 complex	48/1079	8.885576178195724E-19	3.3809617358034734E-16	0	0	4.448563484708063	184.90315088325318	PPP1R15A;CD274;CD40;CD83;CSF2;CD80;TNFAIP3;ADM;CXCL1;PTGS2;TNF;ICAM1;RELB;SOCS3;CCL5;CCR7;PIM3;TNFRSF4;IL32;IL15RA;EDN1;MMP7;GADD45B;DUSP1;IL15;MMP1;SPHK1;TNFRSF9;SERPINB9;TRAF1;CFLAR;SOD2;NFKB1;NFKB2;NR4A2;NFKBIA;IL1A;IL6;KLF6;IL1B;IRF1;IL2RA;BCL3;REL;SQSTM1;MET;ATF3;BIRC3
interleukin-35 complex	25/281	8.529537893755877E-17	2.7818478587778097E-14	0	0	8.896797153024911	329.1851547606758	CXCL6;IL1RN;CD40;CSF2;EBI3;TNFAIP3;CXCL1;CXCL3;TNF;CXCL2;SOCS3;CCL5;CCL4;STAT4;CCL3;CCR7;IL15;TNFRSF18;NFKB1;IL1A;IL6;TNIP1;IL1B;IRF1;IL2RA
S100A9 complex	26/324	2.476880388651146E-16	7.068397409113209E-14	0	0	8.024691358024691	288.3621612072092	IL1RN;CSF2;TNFAIP6;ADM;CXCL1;PTGS2;CXCL3;TNF;CXCL2;SOCS3;CCL5;CCL4;CCL3;CCR7;MMP7;CCL20;MMP1;OSM;IL36G;G0S2;SOD2;NFKB1;IL1A;IL6;IL1B;ANGPTL4
IgG immunoglobulin complex	33/576	4.004954181439556E-16	1.0159233773585007E-13	0	0	5.729166666666666	203.1208973050442	HIST2H2AA3;CD274;IL1RN;CD40;CD83;CSF2;C1S;CD80;CXCL1;TNF;ICAM1;RELB;CCL5;CCL4;CCL3;SLAMF7;CCR7;TNFRSF4;DUSP5;DUSP1;IL15;CCL20;TNFRSF9;TNFRSF18;HIST2H2BE;IL1A;IL6;IL1B;IL2RA;IL3RA;TNFSF9;HIST1H2BD;CRLF2
S100A8 complex	26/351	1.710682934616019E-15	3.9054891397283715E-13	0	0	7.4074074074074066	251.86580538635138	CD274;IL1RN;CSF2;TNFAIP6;ADM;CXCL1;PTGS2;CXCL3;TNF;CXCL2;SOCS3;KYNU;CCL5;CCL4;CCL3;PIM3;MMP7;GADD45B;CCL20;MMP1;OSM;IL36G;G0S2;IL1A;IL6;IL1B
