Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Immune system	53/1046	2.2460102047832232E-23	4.137150797210697E-20	0	0	5.066921606118547	264.24149064704466	HIST2H2AA3;IL1RN;CSF2;TNFAIP3;CXCL1;TNF;CXCL2;ETS2;ICAM1;NAMPT;PIM1;MAP3K8;EDN1;MMP7;DUSP1;IL15;RIPK2;MMP1;SPHK1;SERPINB9;TRAF1;MMP10;IL1A;ADORA2A;IL1B;IRF1;SQSTM1;ATF3;HBEGF;BIRC3;CD274;CCL3L1;PTGS2;STX11;CYP27B1;SOCS3;CCL5;CCL4;STAT4;CCL3;IL32;GADD45B;OSM;CFLAR;NFKB1;NFKB2;ISG20;NFKBIA;IL6;IL2RA;BCL3;REL;CRLF2
Synovial tissue	17/84	7.133025561313483E-18	6.569516541969718E-15	0	0	20.238095238095237	799.0363514050727	IL32;IL1RN;CSF2;IL15;MMP1;CCL20;OSM;CXCL1;PTGS2;TNF;ICAM1;NFKBIA;IL1A;IL6;IL1B;CCL5;CCL3
Stromal cell	19/182	2.7589812053183214E-14	1.6940144600654492E-11	0	0	10.43956043956044	325.9369596472322	CD40;CSF2;MMP7;IL15;MMP1;OSM;CXCL1;PTGS2;TNF;BMP6;ICAM1;IL1A;IL6;IL1B;CCL5;CCL4;CCL3;MET;HBEGF
Bronchoalveolar lavage	14/100	1.3151631452014453E-12	6.056326283652655E-10	0	0	14.000000000000002	382.9988455048315	EDN1;CSF2;CXCL1;PARP9;PTGS2;TNF;CXCL2;ICAM1;IL1A;IL6;IL1B;CCL5;CCL4;CCL3
Synovia	10/63	6.434698462317373E-10	2.37054291351772E-7	0	0	15.873015873015872	335.9388245871908	IL1A;IL6;CSF2;TNFAIP6;IL15;MMP1;IL1B;CCL5;OSM;TNF
Bronchial epithelial cell line	6/17	1.0473448502048175E-8	3.21534869012879E-6	0	0	35.294117647058826	648.5090292872178	IL6;CSF2;IL1B;CCL5;TNF;ICAM1
Tendon	11/111	1.5028196597369308E-8	3.954562590336324E-6	0	0	9.90990990990991	178.51055306282632	IL1A;IL1RN;IL6;CSF2;IL15;MMP1;IL1B;CCL5;PTGS2;TNF;ICAM1
Spleen	180/14937	3.7048908793148245E-8	8.530511249622384E-6	0	0	1.2050612572805783	20.619835635165387	IL1RN;CD83;CD80;RNF19B;MSANTD3;DDX60L;TNF;ETS2;ICAM1;ZC3H12C;MT2A;LAMP3;DPYSL3;ZC3H12A;NAMPT;PIM1;DENND5A;MAP3K8;PIM3;NBN;MB21D2;IER5;TNFRSF4;HIST1H2AC;IER3;IL15RA;ACSL1;TAP1;TM4SF1;GEM;NINJ1;RHCG;SQSTM1;OPTN;ATF3;HIST1H2BD;IDO1;CES1;HIST1H2BC;CD274;CCL3L1;SLC41A2;EBI3;SLC1A3;AK4;GPR84;NDRG1;RASGRP1;AK8;HELZ2;SOCS3;IRAK2;UBD;HIVEP1;SLAMF7;HIVEP2;NDP;MSC;LONRF1;PLK3;GADD45B;LHFP;TNFRSF9;GFPT2;TFPI2;HSPA6;ZBTB10;PBX4;INHBA;NFKB1;BMP6;NFKB2;EHD1;ABTB2;ISG20;NR4A2;NFKBIA;IL6;NR4A3;BCL3;REL;TNFSF9;TMCC3;FERMT2;PLEKHM3;LRP12;CSRNP1;BTG3;LAD1;CXCL6;CD40;HIST2H2AA4;TNFAIP6;BHLHE41;TNFAIP3;ADM;N4BP2L1;CXCL1;SLC7A11;LRRC32;SLC2A6;CXCL2;KYNU;NFKBIZ;PDE4B;TRIM69;CCR7;CYTIP;RAB8B;KDM6B;DUSP5;EDN1;PTGIR;DUSP1;IL15;RIPK2;MMP1;SPHK1;TNFRSF18;RHBDF2;SERPINB9;AMPD3;MSANTD3-TMEFF1;TRAF1;PARP9;LSS;MMP10;HIST2H2BE;IL1A;PLSCR1;ADORA2A;IL1B;IRF1;IL3RA;RAPGEF2;ANGPTL4;MET;CHST2;HBEGF;BIRC3;PPP1R15A;SLFN5;GRAMD1A;C1S;USP12;FAM129A;PTGS2;TANK;AKAP2;STX11;ARNTL2;RELB;MLLT6;CCL5;CCL4;STAT4;CCL3;CKB;ZSWIM4;GBP1;GBP4;MPZL1;IL32;GCH1;GK;RFTN1;OSM;G0S2;CFLAR;SOD2;MCOLN2;KLF6;ZNFX1;KLF5;TNIP1;CLCF1;TNIP3;IL2RA;TRIP10;GRINA
Adult	28/918	1.4494590978385884E-7	2.9665596202429773E-5	0	0	3.0501089324618738	48.02977620943842	LAD1;IL1RN;CD40;CSF2;CD80;SLC1A2;SLC1A3;ADM;PTGS2;TNF;ICAM1;SOCS3;CCL5;PIM1;EDN1;IL15;MMP1;GFPT2;HIST2H2BE;BMP6;NR4A2;IL1A;IL6;IL1B;IL2RA;MET;OPTN;HBEGF
HUVEC cell	10/113	2.0278845634648866E-7	3.7353633659023215E-5	0	0	8.849557522123893	136.38143794883064	NFKBIA;IL1A;IL6;EDN1;CSF2;MMP1;IL1B;PTGS2;TNF;ICAM1
