Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ETV3 human tf ARCHS4 coexpression	108/299	2.908467613149462E-99	5.014198165069672E-96	0	0	15.0815871974082	3421.8356482070812	CD86;IL1RN;CD83;CD80;RNF19B;PRDM1;AHR;BACH1;TNF;SAT1;ETS2;ICAM1;CXCL16;NIPAL4;ZC3H12A;DENND5A;MAP3K8;PIM3;IER5;IER3;IL15RA;PPTC7;ACSL1;TICAM1;NINJ1;ATF3;CD274;PFKFB3;CCL3L3;GPR84;SOCS3;SBNO2;IRAK2;TP53BP2;SLAMF7;MSC;ZNF267;MCL1;PLK3;GADD45B;NFKB1;NFKB2;EHD1;ABTB2;NR4A2;NFKBIA;IL6;NR4A3;MAFG;BHLHE40;BCL3;SNAI1;TNFSF9;CPEB2;NFE2L2;CSRNP1;CD40;CDKN1A;CXCL8;TNFAIP6;TNFAIP3;CXCL3;SLC2A6;CXCL2;FCAR;GPR132;ARL5B;NFKBIZ;PDE4B;ARHGEF11;KDM6B;DUSP5;RIPK2;SPHK1;AMPD3;TRAF1;RNF144B;IL1A;ADORA2A;IL1B;MTF1;HBEGF;B4GALT5;PPP1R15B;GRAMD1A;CEBPB;SLC43A2;BCL2A1;USP12;PTGS2;STX11;RELB;GNA13;RAB20;DRAM1;GBP1;GCH1;OSM;CFLAR;SOD2;SPSB1;ZNFX1;TNIP1;TNIP2;TNIP3;TRIP10;OTUD1;CRLF2
NR4A3 human tf ARCHS4 coexpression	105/299	6.923882605950597E-95	5.968386806329415E-92	0	0	14.662654219702418	3179.0189638323686	CD86;IL1RN;SAMD9L;CD83;CSF1;CD80;RNF19B;MSANTD3;AHR;TNF;ETS2;ICAM1;CXCL16;NIPAL4;IL4I1;LAMP3;ZC3H12A;DENND5A;MAP3K8;PIM3;JUNB;IER3;IL15RA;ARID5A;TICAM1;IL23A;NINJ1;ATF3;CD274;PFKFB3;CCL3L3;GPR84;SOCS3;IRAK2;SLAMF7;MSC;ZNF267;MCL1;PLK3;GADD45B;NFKB1;NFKB2;EHD1;ABTB2;ISG20;NR4A2;NFKBIA;NR4A1;IL6;BHLHE40;BCL3;SNAI1;REL;TNFSF9;CSRNP1;CD40;CDKN1A;CXCL8;TNFAIP3;CXCL3;SLC2A6;CXCL2;GPR132;ARL5B;NFKBIZ;PDE4B;CCR7;KDM6B;DUSP5;SPHK1;AMPD3;TRAF1;ETV3;RNF144B;IL1A;ADORA2A;IL1B;IL3RA;HBEGF;PPP1R15B;CEBPB;BCL2A1;USP12;PTGS2;STX11;RELB;GNA13;RAB20;DRAM1;CCL3;GBP1;GCH1;RFTN1;OSM;CFLAR;SOD2;MCOLN2;SPSB1;KLF6;ZNFX1;TNIP1;CLCF1;TNIP3;OTUD1;CRLF2
ATF3 human tf ARCHS4 coexpression	101/299	3.7184180026973016E-89	2.1368508788833826E-86	0	0	14.104076916094707	2871.826655537897	CD86;IL1RN;CD83;CSF1;CD80;RNF19B;TNF;ETS2;ICAM1;CXCL16;NIPAL4;IL4I1;ZC3H12A;MAP3K8;PIM3;IER5;IER3;IL15RA;MREG;TICAM1;GEM;NINJ1;CD274;PFKFB3;CCL3L3;GPR84;HELZ2;SOCS3;IRAK2;SLAMF7;MSC;MCL1;PLK3;GADD45B;HSPA6;NFKB1;NFKB2;EHD1;ABTB2;NFKBIA;NR4A1;IL6;NR4A3;MAFG;BHLHE40;BCL3;SNAI1;TNFSF9;NFE2L2;ZMYND15;CSRNP1;CD40;CDKN1A;CXCL8;TNFAIP6;TNFAIP3;SLC7A11;CXCL3;SLC2A6;CXCL2;GPR132;ARL5B;NFKBIZ;KDM6B;DUSP5;SPHK1;AMPD3;TRAF1;ETV3;IL1A;ADORA2A;IL1B;HBEGF;B4GALT5;PPP1R15A;PPP1R15B;GRAMD1A;CEBPB;SLC43A2;BCL2A1;USP12;PTGS2;STX11;RELB;GNA13;RAB20;DRAM1;CCL3;GBP1;GCH1;SOD2;SGPP2;SPSB1;KLF6;ZNFX1;P2RX4;TNIP1;CLCF1;TNIP3;TRIP10;OTUD1
NFKB1 human tf ARCHS4 coexpression	99/299	2.4527498760758506E-86	1.0571351965886916E-83	0	0	13.824788264290852	2725.212882495048	CD86;IL1RN;SAMD9L;CD83;CD80;RNF19B;AHR;TNF;ICAM1;CXCL16;NIPAL4;IL4I1;ZC3H12A;EPSTI1;DENND5A;MAP3K8;PIM3;IER3;IL15RA;PPTC7;ARID5A;TAP1;TICAM1;NINJ1;CMPK2;CD274;PFKFB3;CCL3L3;EBI3;GPR84;HELZ2;SOCS3;SBNO2;CHST11;IRAK2;SLAMF7;HIVEP2;MSC;ZNF267;PLK3;PARP14;NFKB2;EHD1;ABTB2;ISG20;NFKBIA;IL6;NR4A3;BCL3;TNFSF9;CSRNP1;CD40;CXCL8;TNFAIP6;TNFAIP3;PTPRJ;CXCL3;PPP1R18;SLC2A6;CXCL2;GPR132;NFKBIZ;CCR7;CYTIP;KDM6B;DUSP5;DTX3L;SPHK1;AMPD3;ETV3;IL1A;ADORA2A;IL1B;IRF1;ARHGEF2;BIRC3;B4GALT5;GRAMD1A;CEBPB;SLC43A2;BCL2A1;USP12;PTGS2;STX11;RELA;RELB;GNA13;DRAM1;GBP1;FBRS;GCH1;RFTN1;SOD2;MCOLN2;SGPP2;ZNFX1;TNIP1;TNIP3;IL2RA
ETV3L human tf ARCHS4 coexpression	98/299	6.134443508767652E-85	2.1151561218230865E-82	0	0	13.685143938388924	2653.628968758789	IL1RN;CSF3;CD83;CD80;RNF19B;TNF;ICAM1;CXCL16;NIPAL4;IL4I1;ZC3H12A;EPSTI1;IL12B;MAP3K8;PIM3;IER3;IL15RA;TICAM1;NINJ1;CMPK2;ATF3;IDO1;CD274;PFKFB3;CCL3L1;CCL3L3;EBI3;TXN;GPR84;HELZ2;CYP27B1;SOCS3;SBNO2;IRAK2;SLAMF7;MSC;SLAMF1;PLK3;GADD45B;NFKB1;NFKB2;EHD1;ABTB2;ISG20;NFKBIA;IL6;BCL3;TNFSF9;ZMYND15;CD40;CDKN1A;CXCL8;TNFAIP6;N4BP2L1;CXCL1;CXCL3;SLC2A6;CXCL2;GPR132;ARHGEF11;DUSP5;PTGIR;CHST7;SPHK1;RHBDF2;AMPD3;TRAF1;ETV3;IL1A;ADORA2A;IL1B;MTF1;B4GALT5;GRAMD1A;CEBPB;SLC43A2;BCL2A1;USP12;PTGS2;STX11;RELB;DRAM1;CCL3;GBP1;GCH1;SOD2;MCOLN2;SGPP2;SPSB1;ZNFX1;P2RX4;TNIP1;CLCF1;TNIP3;IL2RA;TRIP10;CRLF2;GRINA
ZNF267 human tf ARCHS4 coexpression	94/299	2.007735588569693E-79	5.768893591156918E-77	0	0	13.126566634781213	2378.6285802002158	CD86;CSRNP1;IL1RN;CD40;SAMD9L;CD83;CXCL8;TNFAIP6;CD80;RNF19B;TNFAIP3;DDX60L;PTPRJ;AHR;CXCL3;BACH1;LYST;TNF;FCAR;ICAM1;GPR132;ZC3H12A;NAMPT;NFKBIZ;EPSTI1;PDE4B;DENND5A;MAP3K8;PIM3;NBN;CYTIP;IER5;IER3;RAB8B;KDM6B;DUSP5;PPTC7;ACSL1;TAP1;AMPD3;TRAF1;TICAM1;ETV3;IL1A;ADORA2A;IRF4;IL1B;IRF1;NINJ1;CLEC4E;BIRC3;CD274;PPP1R15B;CEBPB;PFKFB3;SLC43A2;CCL3L3;USP12;FAM129A;CSF2RB;GPR84;PTGS2;STK4;STX11;RELB;GNA13;SOCS3;OGFRL1;RAB20;DRAM1;CHST11;IRAK2;SLAMF7;MSC;GBP1;GBP4;MCL1;PLK3;GADD45B;GK;OSM;CFLAR;PARP14;SOD2;MCOLN2;NFKB1;NFKB2;EHD1;ZNFX1;NR4A3;TNIP1;BCL3;REL;MXD1
MTF1 human tf ARCHS4 coexpression	86/299	8.975149761749933E-69	2.2104511698938406E-66	0	0	12.009412027565789	1881.6816548466347	CD86;ZMYND15;IL1RN;CD40;CD83;CXCL8;TNFAIP6;CD80;TNFAIP3;DDX60L;PTPRJ;CXCL1;CXCL3;PPP1R18;TNF;SLC2A6;CXCL2;CXCL5;FCAR;ICAM1;CXCL16;NIPAL4;IL4I1;GPR132;ZC3H12A;NAMPT;NFKBIZ;PIM3;IER3;KDM6B;IL15RA;DUSP5;PPTC7;ACSL1;SPHK1;RHBDF2;TAP1;AMPD3;TRAF1;TICAM1;IL1A;ADORA2A;IL1B;NINJ1;CLEC4E;B4GALT5;CD274;PPP1R15B;GRAMD1A;CEBPB;PFKFB3;SLC43A2;BCL2A1;CSF2RB;GPR84;PTGS2;STX11;RELB;CYP27B1;SOCS3;SBNO2;DRAM1;CHST11;IRAK2;SLAMF7;MSC;GBP1;ZNF267;MCL1;PLK3;GCH1;CFLAR;SOD2;SGPP2;NFKB1;PNRC1;NFKB2;EHD1;NFKBIA;SLC6A6;IL6;ZNFX1;TNIP1;TNIP3;BCL3;MXD1
BATF human tf ARCHS4 coexpression	83/299	6.503987361835063E-65	1.401609276475456E-62	0	0	11.590479049860006	1713.021986452692	IL1RN;CD40;CD83;CD80;RNF19B;TNFAIP3;PPP1R18;TNF;SLC2A6;ICAM1;NIPAL4;IL4I1;GPR132;ZC3H12A;CCR7;MAP3K8;PIM3;PIM2;CYTIP;TNFRSF4;IER3;IL15RA;DUSP5;BATF3;SPHK1;TNFRSF18;RHBDF2;ARID5A;TAP1;AMPD3;TRAF1;TICAM1;ADORA2A;IRF1;NINJ1;BIRC3;CD274;GRAMD1A;CEBPB;PFKFB3;SLC43A2;CCL3L1;BCL2A1;CCL3L3;EBI3;GPR84;IL2RG;STX11;RELB;SOCS3;SBNO2;DRAM1;CCL5;CCL4;STAT4;CCL3;SLAMF7;MSC;SLAMF1;IL32;PLK3;ZBTB17;GADD45B;CD70;TNFRSF9;RFTN1;SOD2;MCOLN2;NFKB1;EHD1;PARP10;ISG20;NFKBIA;ZNFX1;P2RX4;TNIP1;TNIP2;CLCF1;TNIP3;IL2RA;BCL3;TRIP10;TNFSF9
NFKB2 human tf ARCHS4 coexpression	76/299	3.3616665841400273E-56	6.439459101174896E-54	0	0	10.612968768546512	1355.6192115067363	CD86;CSRNP1;IL1RN;CD40;CD83;CXCL8;TNFAIP6;CD80;RNF19B;TNFAIP3;UBE2Z;CXCL3;PPP1R18;TNF;SLC2A6;ICAM1;NIPAL4;IL4I1;GPR132;ZC3H12A;PIM3;TNFRSF4;IER3;KDM6B;IL15RA;DUSP5;SPHK1;RHBDF2;ARID5A;TAP1;AMPD3;TRAF1;TICAM1;ADORA2A;IRF4;IL1B;NINJ1;ARHGEF2;CD274;GRAMD1A;CEBPB;PFKFB3;SLC43A2;BCL2A1;CCL3L3;EBI3;GPR84;PTGS2;STX11;RELA;RELB;MLLT6;HELZ2;SOCS3;SBNO2;DRAM1;IRAK2;SLAMF7;MSC;FBRS;PLK3;GADD45B;RFTN1;SOD2;NFKB1;EHD1;ABTB2;PARP10;ISG20;ZNFX1;TNIP2;TNIP3;BCL3;TRIP10;TNFSF9;GRINA
ZNFX1 human tf ARCHS4 coexpression	76/299	3.3616665841400273E-56	5.795513191057406E-54	0	0	10.612968768546512	1355.6192115067363	IL1RN;CD40;SAMD9L;CD80;RNF19B;TNFAIP3;DDX60L;PTPRJ;TMEM140;UBE2Z;PPP1R18;TNF;SLC2A6;ICAM1;IL4I1;GPR132;LAMP3;ZC3H12A;EPSTI1;PIM3;IL15RA;DUSP5;DTX3L;ACSL1;RHBDF2;ARID5A;TAP1;AMPD3;TRAF1;PARP9;TICAM1;PLSCR1;IRF1;NINJ1;IRF2;CMPK2;IDO1;B4GALT5;CD274;SLFN5;GRAMD1A;CEBPB;PFKFB3;SLC43A2;BCL2A1;FAM129A;NLRC5;CSF2RB;STX11;RELB;HELZ2;SOCS3;SBNO2;DRAM1;CHST11;IRAK2;SLAMF7;HIVEP2;MSC;GBP1;GBP4;MCL1;RFTN1;CFLAR;PARP14;SOD2;NFKB1;PNRC1;NFKB2;EHD1;PARP10;ISG20;TNIP1;BCL3;REL;GRINA
