Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
HHEX human tf ARCHS4 coexpression	29/299	2.190011054829778E-20	3.7755790585265374E-17	0	0	9.698996655518394	439.05219490894154	RGS19;RGS14;LST1;SLC40A1;AIF1;ARHGAP4;PYCARD;LYL1;HLA-DMA;ARHGDIB;TBC1D10C;MFSD1;STK32C;RNASET2;CARD9;LMO2;IDH2;DEF6;APBB1IP;SLFN11;PARVG;FES;TBXAS1;CAT;TACC3;DPEP2;ELMO1;DOCK2;PLCB2
ZFP36L2 human tf ARCHS4 coexpression	26/299	3.4754353032468233E-17	2.9958252313987616E-14	0	0	8.695652173913043	329.54979863135566	RGS19;RGS14;ASB13;AIF1;ARHGAP4;PYCARD;LYL1;HHEX;SH3TC1;ARHGDIB;TBC1D10C;MAP4K1;RNASET2;CLEC11A;CARD9;LMO2;IDH2;IL16;DEF6;APBB1IP;TRAPPC6A;PARVG;FES;CAT;ELMO1;RNF166
CEBPA human tf ARCHS4 coexpression	26/299	3.4754353032468233E-17	1.9972168209325077E-14	0	0	8.695652173913043	329.54979863135566	C1QA;TREM2;LRP3;NPL;GRAMD4;ASGR2;ARHGAP4;KIAA0930;FCGRT;ADORA3;SLCO2B1;LDHD;STAB1;MFSD1;CD36;METTL7A;CARD9;AP1B1;TPCN1;CD4;PARVG;FES;CAT;CAMK1;DOCK2;PLCB2
LYL1 human tf ARCHS4 coexpression	25/299	3.697615428767258E-16	1.5936722497986882E-13	0	0	8.361204013377927	297.1042922636437	RGS19;RGS14;LST1;AIF1;CORO1A;ARHGAP4;PYCARD;HHEX;ARHGDIB;TBC1D10C;SLC12A9;RNASET2;CLEC11A;CARD9;LMO2;DEF6;APBB1IP;PARVG;FES;TBXAS1;CAT;DPEP2;DOCK2;PLCB2;RNF166
MAFB human tf ARCHS4 coexpression	25/299	3.697615428767258E-16	1.2749377998389507E-13	0	0	8.361204013377927	297.1042922636437	C1QA;SLC46A2;TREM2;NPL;AIF1;MS4A4A;KIAA0930;CALHM2;FCGRT;SH3TC1;ADORA3;SLCO2B1;STAB1;MFSD1;TMEM86A;FUCA1;AP1B1;RNASE1;MS4A6A;EEPD1;CD4;TBXAS1;KCTD12;CAMK1;CPVL
HLA-DRB3 human tf ARCHS4 coexpression	25/299	3.697615428767258E-16	1.0624481665324588E-13	0	0	8.361204013377927	297.1042922636437	C1QA;RGS19;LST1;AIF1;ARHGAP4;MS4A4A;PYCARD;HLA-DMA;HLA-DMB;FCGRT;ARHGDIB;COTL1;MAP4K1;RNASET2;CARD9;IL16;DEF6;APBB1IP;MS4A6A;CD4;PARVG;NAAA;DOCK2;CPVL;PLCB2
SNAI3 human tf ARCHS4 coexpression	24/299	3.748814996291637E-15	9.23279579086683E-13	0	0	8.02675585284281	266.6274510169051	SLC46A2;RGS19;RGS14;RNASET2;LST1;TREM2;NPL;CORO1A;DEF6;ARHGAP4;APBB1IP;DOK2;CD4;CALHM2;PARVG;FCGRT;STAB1;TBXAS1;TBC1D10C;COTL1;DPEP2;PLCB2;RNF166;SLC12A9
IRF5 human tf ARCHS4 coexpression	23/299	3.616374906612921E-14	7.793287923750844E-12	0	0	7.6923076923076925	238.08245526796125	C1QA;RGS19;FUCA1;RNASET2;CARD9;TREM2;NPL;RNASE1;AIF1;DEF6;ARHGAP4;APBB1IP;HLA-DMA;CD4;HLA-DMB;PARVG;FCGRT;SH3TC1;STAB1;TBXAS1;DOCK2;CPVL;PLCB2
FLI1 human tf ARCHS4 coexpression	23/299	3.616374906612921E-14	6.9273670433340836E-12	0	0	7.6923076923076925	238.08245526796125	RGS19;RGS14;LST1;GIMAP1;LMO2;IL16;CORO1A;SORL1;DEF6;ARHGAP4;APBB1IP;PARVG;FES;ARHGDIB;TBXAS1;TBC1D10C;COTL1;DPEP2;EMB;DOCK2;PLCB2;RNF166;SLC12A9
HOXA9 human tf ARCHS4 coexpression	22/299	3.313998183663128E-13	5.713332868635232E-11	0	0	7.357859531772576	211.431410848148	RGS19;CLEC11A;CARD9;LMO2;ASB13;ABHD14B;NME4;AIF1;PYCARD;LYL1;HLA-DMA;HHEX;TRAPPC6A;SLFN11;PARVG;FES;ARHGDIB;CAT;POLD2;TACC3;ELMO1;EMB
