Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NR4A3 human tf ARCHS4 coexpression	75/299	2.2688135243842133E-86	3.911434516038384E-83	0	0	25.08361204013378	4946.565074727098	CSRNP1;IL1RN;CD40;CD83;CXCL8;CD80;RNF19B;TNFAIP3;MSANTD3;CXCL3;TNF;CXCL2;SLC2A6;ETS2;ICAM1;LAMP3;ZC3H12A;NFKBIZ;PDE4B;CCR7;DENND5A;MAP3K8;PIM3;IER3;KDM6B;IL15RA;DUSP5;SPHK1;AMPD3;TRAF1;IL1A;ADORA2A;IL1B;NINJ1;IL3RA;ATF3;HBEGF;CD274;CCL3L3;USP12;GPR84;PTGS2;STX11;RELB;SOCS3;IRAK2;CCL3;SLAMF7;MSC;GBP1;PLK3;GADD45B;GCH1;RFTN1;OSM;CFLAR;SOD2;MCOLN2;NFKB1;NFKB2;ABTB2;EHD1;ISG20;NFKBIA;NR4A2;IL6;KLF6;ZNFX1;TNIP1;CLCF1;TNIP3;BCL3;REL;TNFSF9;CRLF2
ETV3L human tf ARCHS4 coexpression	73/299	5.9445983868463364E-83	5.124243809461542E-80	0	0	24.414715719063544	4622.488903483564	IL1RN;CD40;CD83;CXCL8;TNFAIP6;CD80;RNF19B;N4BP2L1;CXCL1;CXCL3;TNF;CXCL2;SLC2A6;ICAM1;ZC3H12A;IL12B;MAP3K8;PIM3;IER3;IL15RA;DUSP5;PTGIR;SPHK1;RHBDF2;AMPD3;TRAF1;IL1A;ADORA2A;IL1B;NINJ1;ATF3;IDO1;CD274;GRAMD1A;CCL3L1;CCL3L3;EBI3;USP12;GPR84;PTGS2;STX11;RELB;HELZ2;CYP27B1;SOCS3;IRAK2;CCL3;SLAMF7;MSC;GBP1;PLK3;GADD45B;GCH1;SOD2;SGPP2;MCOLN2;NFKB1;NFKB2;ABTB2;EHD1;ISG20;NFKBIA;IL6;ZNFX1;TNIP1;CLCF1;TNIP3;IL2RA;BCL3;TRIP10;TNFSF9;CRLF2;GRINA
ETV3 human tf ARCHS4 coexpression	71/299	1.4041668920359164E-79	8.069279072899733E-77	0	0	23.745819397993312	4311.4044316757	CSRNP1;IL1RN;CD40;CD83;CXCL8;TNFAIP6;CD80;RNF19B;TNFAIP3;CXCL3;TNF;CXCL2;SLC2A6;ETS2;ICAM1;ZC3H12A;NFKBIZ;PDE4B;DENND5A;MAP3K8;PIM3;IER5;IER3;KDM6B;IL15RA;DUSP5;ACSL1;RIPK2;SPHK1;AMPD3;TRAF1;IL1A;ADORA2A;IL1B;NINJ1;ATF3;HBEGF;CD274;GRAMD1A;CCL3L3;USP12;GPR84;PTGS2;STX11;RELB;SOCS3;IRAK2;SLAMF7;MSC;GBP1;PLK3;GADD45B;GCH1;OSM;CFLAR;SOD2;NFKB1;NFKB2;ABTB2;EHD1;NFKBIA;NR4A2;IL6;ZNFX1;NR4A3;TNIP1;TNIP3;BCL3;TRIP10;TNFSF9;CRLF2
ATF3 human tf ARCHS4 coexpression	71/299	1.4041668920359164E-79	6.0519593046747995E-77	0	0	23.745819397993312	4311.4044316757	CSRNP1;IL1RN;CD40;CD83;CXCL8;TNFAIP6;CD80;RNF19B;TNFAIP3;SLC7A11;CXCL3;TNF;CXCL2;SLC2A6;ETS2;ICAM1;ZC3H12A;NFKBIZ;MAP3K8;PIM3;IER5;IER3;KDM6B;IL15RA;DUSP5;SPHK1;AMPD3;TRAF1;GEM;IL1A;ADORA2A;IL1B;NINJ1;HBEGF;PPP1R15A;CD274;GRAMD1A;CCL3L3;USP12;GPR84;PTGS2;STX11;RELB;HELZ2;SOCS3;IRAK2;CCL3;SLAMF7;MSC;GBP1;PLK3;GADD45B;GCH1;HSPA6;SOD2;SGPP2;NFKB1;NFKB2;ABTB2;EHD1;NFKBIA;IL6;KLF6;ZNFX1;NR4A3;TNIP1;CLCF1;TNIP3;BCL3;TRIP10;TNFSF9
NFKB1 human tf ARCHS4 coexpression	69/299	2.987493711936688E-76	1.03008783187577E-73	0	0	23.076923076923077	4013.123821271149	CSRNP1;IL1RN;CD40;CD83;CXCL8;TNFAIP6;CD80;RNF19B;TNFAIP3;CXCL3;TNF;CXCL2;SLC2A6;ICAM1;ZC3H12A;NFKBIZ;CCR7;DENND5A;MAP3K8;PIM3;CYTIP;IER3;KDM6B;IL15RA;DUSP5;SPHK1;TAP1;AMPD3;IL1A;ADORA2A;IL1B;IRF1;NINJ1;BIRC3;CD274;GRAMD1A;CCL3L3;EBI3;USP12;GPR84;PTGS2;STX11;RELB;HELZ2;SOCS3;IRAK2;SLAMF7;HIVEP2;MSC;GBP1;PLK3;GCH1;RFTN1;SOD2;SGPP2;MCOLN2;NFKB2;ABTB2;EHD1;ISG20;NFKBIA;IL6;ZNFX1;NR4A3;TNIP1;TNIP3;IL2RA;BCL3;TNFSF9
ZNF267 human tf ARCHS4 coexpression	66/299	2.4046670586139087E-71	6.909410015083964E-69	0	0	22.073578595317723	3589.299193853108	CSRNP1;IL1RN;CD40;CD83;CXCL8;TNFAIP6;CD80;RNF19B;TNFAIP3;DDX60L;CXCL3;TNF;ICAM1;NAMPT;ZC3H12A;NFKBIZ;PDE4B;DENND5A;MAP3K8;PIM3;NBN;CYTIP;IER5;IER3;RAB8B;KDM6B;DUSP5;ACSL1;TAP1;AMPD3;TRAF1;IL1A;ADORA2A;IL1B;IRF1;NINJ1;BIRC3;CD274;CCL3L3;USP12;FAM129A;GPR84;PTGS2;STX11;RELB;SOCS3;IRAK2;SLAMF7;MSC;GBP1;GBP4;PLK3;GADD45B;GK;OSM;CFLAR;SOD2;MCOLN2;NFKB1;NFKB2;EHD1;ZNFX1;NR4A3;TNIP1;BCL3;REL
BATF human tf ARCHS4 coexpression	62/299	5.737661883295554E-65	1.4131041552573622E-62	0	0	20.735785953177256	3067.2577638092284	IL1RN;CD40;CD83;CD80;RNF19B;TNFAIP3;TNF;SLC2A6;ICAM1;ZC3H12A;CCR7;MAP3K8;PIM3;CYTIP;TNFRSF4;IER3;IL15RA;DUSP5;SPHK1;TNFRSF18;RHBDF2;TAP1;AMPD3;TRAF1;ADORA2A;IRF1;NINJ1;BIRC3;CD274;GRAMD1A;CCL3L1;CCL3L3;EBI3;GPR84;STX11;RELB;SOCS3;CCL5;CCL4;STAT4;CCL3;SLAMF7;MSC;IL32;PLK3;GADD45B;TNFRSF9;RFTN1;SOD2;MCOLN2;NFKB1;EHD1;ISG20;NFKBIA;ZNFX1;TNIP1;CLCF1;TNIP3;IL2RA;BCL3;TRIP10;TNFSF9
SNAI1 human tf ARCHS4 coexpression	58/299	8.819350885807939E-59	1.9005701158916109E-56	0	0	19.39799331103679	2593.0378556765877	CSRNP1;IL1RN;CD40;CD83;CXCL8;TNFAIP6;RNF19B;ADM;CXCL3;TNF;CXCL2;SLC2A6;ETS2;ICAM1;ZC3H12A;MAP3K8;PIM3;IER5;IER3;KDM6B;IL15RA;DUSP5;SPHK1;AMPD3;TRAF1;IL1A;ADORA2A;IL1B;NINJ1;ATF3;HBEGF;CD274;GRAMD1A;CCL3L3;GPR84;PTGS2;STX11;RELB;SOCS3;IRAK2;SLAMF7;MSC;PLK3;GADD45B;OSM;SOD2;NFKB1;NFKB2;ABTB2;EHD1;NR4A2;NR4A3;TNIP1;CLCF1;TNIP3;BCL3;TRIP10;TNFSF9
MTF1 human tf ARCHS4 coexpression	58/299	8.819350885807939E-59	1.6893956585703208E-56	0	0	19.39799331103679	2593.0378556765877	IL1RN;CD40;CD83;CXCL8;TNFAIP6;CD80;TNFAIP3;DDX60L;CXCL1;CXCL3;TNF;CXCL2;SLC2A6;ICAM1;NAMPT;ZC3H12A;NFKBIZ;PIM3;IER3;KDM6B;IL15RA;DUSP5;ACSL1;SPHK1;RHBDF2;TAP1;AMPD3;TRAF1;IL1A;ADORA2A;IL1B;NINJ1;CD274;GRAMD1A;GPR84;PTGS2;STX11;RELB;CYP27B1;SOCS3;IRAK2;SLAMF7;MSC;GBP1;PLK3;GCH1;CFLAR;SOD2;SGPP2;NFKB1;NFKB2;EHD1;NFKBIA;IL6;ZNFX1;TNIP1;TNIP3;BCL3
NFKB2 human tf ARCHS4 coexpression	56/299	9.23508174306364E-56	1.5921280925041715E-53	0	0	18.729096989966553	2373.384054042248	CSRNP1;IL1RN;CD40;CD83;CXCL8;TNFAIP6;CD80;RNF19B;TNFAIP3;CXCL3;TNF;SLC2A6;ICAM1;ZC3H12A;PIM3;TNFRSF4;IER3;KDM6B;IL15RA;DUSP5;SPHK1;RHBDF2;TAP1;AMPD3;TRAF1;ADORA2A;IL1B;NINJ1;CD274;GRAMD1A;CCL3L3;EBI3;GPR84;PTGS2;STX11;RELB;MLLT6;HELZ2;SOCS3;IRAK2;SLAMF7;MSC;PLK3;GADD45B;RFTN1;SOD2;NFKB1;ABTB2;EHD1;ISG20;ZNFX1;TNIP3;BCL3;TRIP10;TNFSF9;GRINA
