Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NR1H3 23393188 ChIP-Seq ATHEROSCLEROTIC-FOAM Human	36/599	1.2864712286213929E-12	8.297739424607984E-10	0	0	4.020078056515597	110.06619199115518	SLC46A3;SLC45A4;RGS19;CDCA7L;NPL;ARHGAP15;OSGEP;ARHGAP4;LYL1;HLA-DMA;HLA-DMB;ADORA3;SLCO2B1;GNG7;STK32C;SLC12A9;AFAP1L1;PNPLA7;AP1B1;LY86;SORL1;DEF6;WDR77;DUSP7;TPST2;DUSP23;EEPD1;GATM;FES;S100A4;CAMK1;TGFBI;MCM6;DOCK2;C1QC;MXD4
SPI1 23547873 ChIP-Seq NB4 Human	93/3198	4.273905613800321E-11	1.3783345604506036E-8	0	0	1.9451956804106247	46.44331301039754	SCARB1;HEXB;LST1;QPRT;ICAM3;LRMP;ARHGAP4;MS4A4A;MRC2;PYCARD;LYL1;DBP;ADORA3;ARHGDIB;TBC1D10C;COTL1;IGFLR1;XXYLT1;APPL2;SLC12A9;CD52;LRRC45;ABCC5;DCXR;CLEC11A;AP1B1;RNASE6;SORD;IL16;COMMD6;APBB1IP;VAMP8;MS4A6A;RNF125;TST;CAT;DPEP2;ELMO1;ERP29;S100A4;DOCK2;PLCB2;TLR4;RNF166;SASH3;C1QA;SDCCAG3;ANAPC15;AHCY;RGS19;RGS14;PON2;PDXP;PRCP;AIF1;CORO1A;NCAPH;PTGS1;STX10;LDHB;HLA-DMA;SCFD2;SH3TC1;PMVK;PCED1B;MAN1C1;MLEC;CHST14;LTA4H;METTL7A;P2RY11;FUCA1;CARD9;DHCR24;TM6SF1;BRI3BP;FLI1;DEF6;ACSF2;GGCT;PKIB;EEPD1;TSPAN15;PARVG;LPAR6;FES;TBXAS1;PCYOX1L;TACC3;CRYL1;CENPP;C1QC;MXD4
MECOM 23826213 ChIP-Seq KASUMI Mouse	56/1951	1.3569414519638439E-6	2.917424121722264E-4	0	0	1.919948435670585	25.93903581223453	SLC46A3;SCARB1;ROGDI;LRMP;ARHGAP4;PYCARD;LYL1;IMPA2;STAB1;ARHGDIB;MFSD3;APPL2;MAP4K1;CD52;GAS2L3;TESC;ABCC5;LMO2;RNASE6;FRMD4A;VASH1;APRT;APBB1IP;VAMP8;PLA2G15;DOK2;RNF125;PACS2;ELMO1;MCM6;DNASE1L3;RNF166;SLC45A4;SASH3;RGS14;MGST2;ARHGAP15;CORO1A;PARL;PTGS1;ACAT1;CALHM2;MTHFD1L;CARD9;PLXDC2;TM6SF1;BRI3BP;FLI1;DEF6;TPCN1;TREML1;GGCT;FES;PCYOX1L;RIMBP3;ESYT1
GATA1 22383799 ChIP-Seq G1ME Mouse	53/2000	2.660485421598883E-5	0.004290032742328199	0	0	1.7725752508361203	18.673046624871333	SLC46A3;SCARB1;LST1;ROGDI;SLC40A1;LRMP;TREM2;AP2A2;LYL1;IMPA2;ADORA3;STAB1;HADH;APPL2;ZCCHC24;TESC;ABCC5;GLRX5;AP1B1;RNASE6;SORD;VASH1;MIF4GD;ASRGL1;NISCH;APBB1IP;GCHFR;VAMP8;DOK2;ALDH5A1;NDUFS7;CCNE1;HMBS;ELMO1;ERP29;SNRNP25;MCM6;DOCK2;PLCB2;CATSPER1;ASB13;CORO1A;PARL;MTHFD1L;MLEC;AFAP1L1;NMNAT3;DEF6;TREML1;LPAR6;FES;ESYT1;REEP6
LXR 22292898 ChIP-Seq THP-1 Human	51/2000	1.0391388833257206E-4	0.013404891594901797	0	0	1.705685618729097	15.644459796949596	POP5;SCARB1;ROGDI;TREM2;IMPA2;ADORA3;SLCO2B1;TOP1MT;STAB1;MFSD3;SLC37A4;NUDT14;ZCCHC24;HES6;PAQR4;RNASET2;CLEC11A;AP1B1;IL16;MYO7A;CHD1L;VASH1;APRT;DUSP7;PACS2;NDUFS7;DOCK2;RNF166;SLC45A4;RTN4R;C1QA;PRCP;PARL;HIRIP3;OLFML3;SH3TC1;NT5DC2;POLD2;CHST14;SLC19A1;P2RY11;CARD9;CABLES1;FLI1;TPCN1;DAP;FES;CAMK1;ESYT1;TGFBI;SSBP4
SCL 19346495 ChIP-Seq HPC-7 Human	13/252	1.1520427657040435E-4	0.012384459731318466	0	0	3.4506556245686677	31.293318451982547	CEBPA;AFAP1L1;LY86;FLI1;VAMP8;LYL1;HHEX;RXRA;CCNE1;ADORA3;ELMO1;MAN1C1;PRKACB
TAL1 20566737 ChIP-Seq PRIMARY FETAL LIVER ERYTHROID Mouse	48/1875	1.562084970523489E-4	0.014393497228395006	0	0	1.7123745819397995	15.00779695260797	SLC45A4;RTN4R;SASH3;SCARB1;SLC46A2;GCNT1;ROGDI;SLC40A1;MGST2;PRCP;ARHGAP15;AP2A2;GRAMD4;PTGS1;MRC2;LYL1;RXRA;CALHM2;ADORA3;LDHD;ENC1;POLD2;PNPO;REPS2;MLEC;CHST14;HADH;UROS;GLRX5;IDH2;RNASE6;LY86;NMNAT3;RNASE1;FLI1;NISCH;TSPAN15;CCNE1;HMBS;NOXA1;TBXAS1;CAT;TACC3;ELMO1;REEP6;DOCK2;PLCB2;MXD4
E2A 27217539 Chip-Seq RAMOS-Cell line Human	49/2000	3.706928978379968E-4	0.029887114888188494	0	0	1.6387959866220736	12.946712164952617	SCARB1;CDCA7L;LRMP;TRAM2;ARHGAP4;LYL1;HHEX;SLCO2B1;ARHGDIB;TBC1D10C;COTL1;DGCR6L;DGCR6;SLC12A9;SLC39A3;ABCC5;GLRX5;RNASET2;CLEC11A;LMO2;AP1B1;IL16;APBB1IP;PLA2G15;TPST2;ALDH5A1;ERP29;AHCY;RGS14;GCNT1;ASB13;ARHGAP15;GRAMD4;SULT1A1;RACGAP1;SH3TC1;GNG7;METTL7A;FUCA1;LY86;TM6SF1;BRI3BP;SORL1;FLI1;EEPD1;DAP;CD4;PCYOX1L;ESYT1
SCL 21571218 ChIP-Seq MEGAKARYOCYTES Human	44/1784	6.664105396831698E-4	0.04775942201062717	0	0	1.6497442896351064	12.065577510272172	TEX264;TECR;ARHGAP15;GRAMD4;OSGEP;CLYBL;PTGS1;MTHFD1L;CECR5;IMPA2;SH3TC1;TOP1MT;PMVK;COTL1;MAN1C1;STK32C;ZCCHC24;TESC;LMO2;RNASE6;FRMD4A;MYO7A;VASH1;AIG1;RNASE1;SORL1;ASRGL1;FLI1;DUSP7;TPCN1;APBB1IP;PLA2G15;TPST2;EEPD1;DAP;FES;TBXAS1;TACC3;DPEP2;ELMO1;CENPP;DOCK2;DNASE1L3;ATPAF1
RUNX1 22412390 ChIP-Seq EML Mouse	48/2000	6.76319198103316E-4	0.04362258827766388	0	0	1.605351170568562	11.71721001764216	SASH3;SLC27A1;RGS14;LST1;TECR;GIMAP1;ROGDI;LRMP;AP2A2;FAM105A;PARL;LYL1;IMPA2;FCGRT;LDHD;POLD2;MLEC;LTA4H;GPR34;PNPLA7;ABCC5;CTNNBIP1;DHCR24;COMMD6;PLXDC2;BRI3BP;FLI1;DEF6;DUSP7;NISCH;GCHFR;VAMP8;TPST2;DOK2;NDUFS7;TACC3;ELMO1;ERP29;RIMBP3;S100A4;KCTD12;WDFY2;GPD1L;DOCK2;SLC25A5;DNASE1L3;RNF166;SSBP4
