Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NR1H3 23393188 ChIP-Seq ATHEROSCLEROTIC-FOAM Human	26/599	3.3108923185413095E-10	2.1355255454591446E-7	0	0	4.3405676126878125	94.74865827216667	SLC46A3;RGS19;CDCA7L;NPL;OSGEP;ARHGAP4;LYL1;HLA-DMA;HLA-DMB;ADORA3;SLCO2B1;STK32C;SLC12A9;AFAP1L1;PNPLA7;AP1B1;SORL1;DEF6;TPST2;DUSP23;EEPD1;FES;S100A4;CAMK1;MCM6;DOCK2
SPI1 23547873 ChIP-Seq NB4 Human	65/3198	5.097986439329871E-9	1.6441006266838834E-6	0	0	2.0325203252032518	38.80979713616684	LST1;QPRT;LRMP;ARHGAP4;MS4A4A;MRC2;PYCARD;LYL1;DBP;ADORA3;ARHGDIB;TBC1D10C;COTL1;APPL2;SLC12A9;LRRC45;DCXR;CLEC11A;AP1B1;SORD;IL16;COMMD6;APBB1IP;MS4A6A;RNF125;CAT;DPEP2;ERP29;ELMO1;S100A4;DOCK2;PLCB2;RNF166;C1QA;AHCY;RGS19;RGS14;PON2;AIF1;CORO1A;NCAPH;STX10;LDHB;HLA-DMA;SCFD2;SH3TC1;PMVK;PCED1B;MAN1C1;MLEC;LTA4H;METTL7A;P2RY11;FUCA1;CARD9;DEF6;PKIB;EEPD1;TSPAN15;PARVG;FES;TBXAS1;PCYOX1L;TACC3;CRYL1
GATA1 22383799 ChIP-Seq G1ME Mouse	40/2000	1.521485010305941E-5	0.003271192772157773	0	0	2.0	22.18647725316482	SLC46A3;CATSPER1;LST1;ROGDI;SLC40A1;ASB13;TREM2;LRMP;AP2A2;CORO1A;LYL1;MTHFD1L;IMPA2;ADORA3;STAB1;MLEC;HADH;APPL2;ZCCHC24;AFAP1L1;GLRX5;AP1B1;SORD;NMNAT3;VASH1;MIF4GD;ASRGL1;DEF6;TREML1;APBB1IP;DOK2;FES;ERP29;ELMO1;ESYT1;SNRNP25;REEP6;MCM6;DOCK2;PLCB2
E2A 27217539 Chip-Seq RAMOS-Cell line Human	38/2000	7.883722688965747E-5	0.012712502835957267	0	0	1.9	17.951437975378507	AHCY;RGS14;CDCA7L;GCNT1;ASB13;LRMP;TRAM2;GRAMD4;ARHGAP4;LYL1;HHEX;RACGAP1;SH3TC1;SLCO2B1;ARHGDIB;TBC1D10C;COTL1;DGCR6L;METTL7A;DGCR6;SLC12A9;FUCA1;RNASET2;GLRX5;CLEC11A;LMO2;AP1B1;IL16;SORL1;APBB1IP;PLA2G15;TPST2;EEPD1;DAP;CD4;PCYOX1L;ERP29;ESYT1
MECOM 23826213 ChIP-Seq KASUMI Mouse	36/1951	2.2406377673377863E-4	0.028904227198657446	0	0	1.8452075858534085	15.506349248928483	SLC46A3;RGS14;ROGDI;MGST2;LRMP;CORO1A;ARHGAP4;PYCARD;LYL1;CALHM2;MTHFD1L;IMPA2;STAB1;ARHGDIB;MFSD3;APPL2;MAP4K1;GAS2L3;CARD9;LMO2;FRMD4A;VASH1;DEF6;TPCN1;TREML1;APBB1IP;PLA2G15;DOK2;RNF125;FES;PCYOX1L;ELMO1;RIMBP3;ESYT1;MCM6;RNF166
LMO2 20887958 ChIP-Seq HPC-7 Mouse	33/1741	2.6250160893482775E-4	0.028218922960493983	0	0	1.8954623779437105	15.628567515238535	C1QA;PON2;LST1;GCNT1;GIMAP1;MGST2;TREM2;LRMP;AP2A2;GRAMD4;LYL1;HHEX;IMPA2;ARHGDIB;COTL1;ZCCHC24;GAS2L3;FUCA1;UROS;NMNAT3;VASH1;DEF6;TREML1;TPST2;DOK2;DAP;RNF125;NAAA;ELMO1;SNRNP25;MCM6;RNF166;VCL
RACK7 27058665 Chip-Seq MCF-7 Human	36/2000	3.6091963302168164E-4	0.03325616618556924	0	0	1.7999999999999998	14.26833944572366	ROGDI;ALOX15;ASB13;MGST2;NPL;CORO1A;HHEX;CALHM2;DBP;IMPA2;NT5DC2;PMVK;POLD2;COTL1;PTGFRN;STK32C;ZCCHC24;HES6;P2RY11;PAQR4;MGMT;FUCA1;CLEC11A;IDH2;AP1B1;CABLES1;NME4;TPST2;TSPAN15;PPP1R3E;S100A4;ESYT1;GPD1L;VCL;SSBP4;ATPAF1
GATA2 20887958 ChIP-Seq HPC-7 Mouse	32/1708	4.037384645022711E-4	0.03255141370049561	0	0	1.8735362997658078	14.641205161082475	C1QA;MGST2;TRAM2;GRAMD4;LYL1;HHEX;RACGAP1;SCFD2;IMPA2;ARHGDIB;COTL1;FZD2;UROS;NMNAT3;VASH1;DEF6;TPCN1;TREML1;PLA2G15;TPST2;DOK2;CD4;RNF125;FES;NAAA;ELMO1;S100A4;CAMK1;ESYT1;SNRNP25;KBTBD7;RNF166
SCL 21571218 ChIP-Seq MEGAKARYOCYTES Human	32/1784	8.493682492109276E-4	0.060871391193449816	0	0	1.7937219730941703	12.683439858366496	GRAMD4;OSGEP;MTHFD1L;CECR5;IMPA2;SH3TC1;TOP1MT;PMVK;COTL1;MAN1C1;STK32C;ZCCHC24;LMO2;FRMD4A;VASH1;AIG1;RNASE1;SORL1;ASRGL1;TPCN1;APBB1IP;PLA2G15;TPST2;EEPD1;DAP;FES;TBXAS1;TACC3;DPEP2;ELMO1;DOCK2;ATPAF1
FLI1 20887958 ChIP-Seq HPC-7 Mouse	35/2030	9.594405712743705E-4	0.06188391684719689	0	0	1.7241379310344827	11.98131065795894	POP5;RGS14;PON2;GIMAP1;MGST2;LRMP;AP2A2;LYL1;HHEX;CALHM2;DBP;WDR92;MFSD3;TBC1D10C;DGCR6;MAP4K1;HES6;TMEM86A;LRRC45;GAS2L3;FUCA1;UROS;GLRX5;ZWINT;DEF6;TREML1;PLA2G15;PARVG;DPEP2;ELMO1;RIMBP3;S100A4;GEMIN6;PYROXD2;RNF166
VDR 24763502 ChIP-Seq THP-1 Human	25/1288	0.0011235093986006073	0.06587850564521743	0	0	1.9409937888198756	13.18186743188718	CEBPA;QPRT;CORO1A;ARHGAP4;LYL1;LDHD;ENC1;MFSD3;EMB;SLC19A1;CLEC11A;LMO2;IDH2;CABLES1;AIG1;TSPAN15;DOK2;FES;APEX1;TACC3;SNURF;S100A4;KCTD12;PLCB2;RNF166
KDM2B 26808549 Chip-Seq SUP-B15 Human	34/2000	0.001454409666196434	0.07817451955805833	0	0	1.7000000000000002	11.106363820260416	ROGDI;ASB13;NPL;GRAMD4;ASGR2;LYL1;HHEX;FCGRT;SH3TC1;ADORA3;SLCO2B1;TBC1D10C;COTL1;MAN1C1;SLC19A1;P2RY11;PAQR4;PNPLA7;MGMT;GLRX5;CTNNBIP1;LMO2;CABLES1;SORL1;TPCN1;PARVG;PPP1R3E;CAT;ESYT1;CPVL;PLCB2;RNF166;VCL;SSBP4
BRD4 27068464 Chip-Seq AML-cells Mouse	34/2000	0.001454409666196434	0.07216109497666923	0	0	1.7000000000000002	11.106363820260416	CATSPER1;SLC27A1;RGS19;GCNT1;AP2A2;TRAM2;GRAMD4;AIF1;FAM105A;IMPA2;STAB1;POLD2;RRS1;LTA4H;EMB;ZSWIM7;ATP6V0E2;HES6;PNPLA7;FUCA1;SORL1;DEF6;PLA2G15;DOK2;PARVG;NAAA;ELMO1;RIMBP3;ESYT1;MCM6;KBTBD7;DOCK2;RNF166;VCL
