Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
RELA 24523406 ChIP-Seq FIBROSARCOMA Human	91/1182	5.2171457290086296E-58	3.365058995210566E-55	0	0	7.698815566835871	1015.4582596635341	BTG3;CXCL6;IL1RN;CD40;CD83;CSF2;CD80;TNFAIP3;CXCL1;CXCL3;TNF;CXCL2;SLC2A6;ETS2;ICAM1;NAMPT;ZC3H12A;NFKBIZ;PIM1;IL12B;TRIM69;CCR7;MAP3K8;NBN;IER5;TNFRSF4;IER3;KDM6B;IL15RA;DUSP5;EDN1;PTGIR;DUSP1;RIPK2;IL15;MMP1;TAP1;TRAF1;GEM;IL1A;IL1B;IRF1;NINJ1;RHCG;SQSTM1;IDO1;BIRC3;PPP1R15A;CD274;GRAMD1A;C1S;SLC41A2;EBI3;FAM129A;PTGS2;TANK;STX11;RELB;MLLT6;CYP27B1;CCL5;CCL4;HIVEP2;NDP;GBP1;IL32;PLK3;GADD45B;GCH1;CCL20;TNFRSF9;RFTN1;TFPI2;ZBTB10;INHBA;CFLAR;SOD2;NFKB1;NFKB2;ABTB2;NFKBIA;NR4A2;IL6;NR4A3;KLF5;TNIP1;CLCF1;TNIP3;IL2RA;BCL3;REL
ATF3 23680149 ChIP-Seq GBM1-GSC Human	60/2189	1.358111114162082E-13	4.3799083431727146E-11	0	0	2.7409776153494745	81.20834543960859	HIST2H2AA3;CSRNP1;HIST2H2AA4;ADM;SLC7A11;ETS2;MT2A;KYNU;ZC3H12A;NFKBIZ;PIM1;PDE4B;HIST1H2AC;DUSP4;KDM6B;DUSP5;EDN1;ACSL1;DUSP1;MMP1;SPHK1;AMPD3;TRAF1;LSS;TM4SF1;HIST2H2BE;MMP10;GEM;NINJ1;RHCG;SQSTM1;ATF3;HIST1H2BD;IDO1;HIST1H2BC;PPP1R15A;SLC1A3;GPR84;AKAP2;IRAK2;CCL3;GBP1;PLK3;GADD45B;TNFRSF9;GFPT2;HSPA6;TFPI2;OSM;ZBTB10;INHBA;CFLAR;ISG20;IL6;KLF6;NR4A3;KLF5;TNIP1;CLCF1;CRLF2
SMRT 22465074 ChIP-Seq MACROPHAGES Mouse	56/2000	4.972679979515374E-13	1.0691261955958054E-10	0	0	2.8	79.32301239199731	IL1RN;CD40;CSF2;CD80;RNF19B;TNFAIP3;N4BP2L1;CXCL1;TNF;CXCL2;SLC2A6;ETS2;ZC3H12A;NFKBIZ;PIM1;TRIM69;MAP3K8;PIM3;CYTIP;IER5;KDM6B;DUSP5;EDN1;RHBDF2;AMPD3;TM4SF1;IL1B;IRF1;NINJ1;ANGPTL4;RHCG;SQSTM1;ATF3;CD274;SLFN5;FAM129A;PTGS2;STX11;CCL5;CCL4;HIVEP1;STAT4;CCL3;HIVEP2;GADD45B;OSM;G0S2;CFLAR;NFKB2;NR4A2;TNIP1;BCL3;REL;TMCC3;PLEKHM3;CRLF2
TCF21 26020271 ChIP-Seq SMOOTH MUSCLE Human	53/2000	2.1148073422689036E-11	3.410126839408607E-9	0	0	2.65	65.13560161013447	CSRNP1;BHLHE41;TNFAIP3;ADM;CXCL2;MT2A;ZC3H12A;NFKBIZ;PDE4B;MAP3K8;CYTIP;IER5;RAB8B;KDM6B;DUSP5;EDN1;PTGIR;DUSP1;SPHK1;RHBDF2;GEM;ADORA2A;IRF1;NINJ1;ANGPTL4;ATF3;HIST1H2BD;SLFN5;GRAMD1A;USP12;GPR84;RASGRP1;NDRG1;AKAP2;STX11;SOCS3;HIVEP1;MSC;IL32;PLK3;GADD45B;CCL20;ZBTB10;CFLAR;EHD1;ISG20;NFKBIA;IL6;KLF6;NR4A3;TNIP1;BCL3;PLEKHM3
NUCKS1 24931609 ChIP-Seq HEPATOCYTES Mouse	27/588	4.1465369031668056E-11	5.349032605085179E-9	0	0	4.591836734693878	109.77319523676927	PPP1R15A;BHLHE41;TNFAIP3;ADM;NDRG1;ICAM1;RELB;SOCS3;PIM1;MAP3K8;NBN;PLK3;DUSP5;DUSP1;RIPK2;TAP1;CFLAR;SOD2;NFKB1;NFKB2;NFKBIA;IRF1;BCL3;REL;TRIP10;MET;ATF3
BACH1 22875853 ChIP-PCR HELA AND SCP4 Human	38/1352	5.6589477298707545E-9	6.083368809611061E-7	0	0	2.8106508875739644	53.374338703232176	TNFAIP6;C1S;CD80;EBI3;SLC1A3;TNFAIP3;ADM;CXCL1;SLC7A11;PTGS2;NDRG1;ETS2;ICAM1;LAMP3;UBD;CCL5;PIM1;SLAMF7;NDP;TNFRSF4;IER3;DUSP1;MMP1;TFPI2;G0S2;SERPINB9;AMPD3;SOD2;LSS;MMP10;NR4A2;IL1A;IL1B;IL2RA;NINJ1;RAPGEF2;ANGPTL4;ATF3
NR1H3 23393188 ChIP-Seq ATHEROSCLEROTIC-FOAM Human	23/599	3.668840283640914E-8	3.3805742613548424E-6	0	0	3.8397328881469113	65.73931853241008	IL1RN;MMP7;CCL3L1;ACSL1;DUSP1;RIPK2;CCL20;CCL3L3;EBI3;RNF19B;TNFAIP3;PBX4;MT2A;IRAK2;KYNU;CCL5;BCL3;PIM1;CCL3;LONRF1;GBP1;OPTN;IER3
Nerf2 26677805 Chip-Seq MACROPHAGESS Mouse	36/1331	4.0790980038895255E-8	3.28877276563593E-6	0	0	2.70473328324568	46.020509005890375	BTG3;CD274;SLC41A2;BHLHE41;FAM129A;TNFAIP3;ADM;SLC7A11;LRRC32;TANK;STX11;ETS2;ZC3H12C;NAMPT;NFKBIZ;PIM1;SLAMF7;MAP3K8;IER3;RAB8B;DUSP4;EDN1;PTGIR;SERPINB9;AMPD3;INHBA;MCOLN2;NFKBIA;NR4A2;KLF6;NINJ1;BCL3;SQSTM1;MET;ATF3;PLEKHM3
FOXO1 25302145 ChIP-Seq T-LYMPHOCYTE Mouse	46/2000	5.38467043711688E-8	3.859013813267097E-6	0	0	2.3	38.495386661375875	CSRNP1;BTG3;SLFN5;GRAMD1A;CD83;USP12;BHLHE41;TNFAIP3;N4BP2L1;AKAP2;ETS2;ICAM1;MLLT6;SOCS3;CCL5;DPYSL3;ZC3H12A;NFKBIZ;HIVEP1;STAT4;PIM1;CCL3;CCR7;HIVEP2;CYTIP;IER5;DUSP4;KDM6B;GCH1;TRAF1;CFLAR;PARP9;ISG20;NFKBIA;NR4A2;KLF6;ZNFX1;NR4A3;ADORA2A;TNIP1;CLCF1;IRF1;IL2RA;SQSTM1;PLEKHM3;BIRC3
JUN 26020271 ChIP-Seq SMOOTH MUSCLE Human	46/2000	5.38467043711688E-8	3.4731124319403876E-6	0	0	2.3	38.495386661375875	PPP1R15A;BTG3;CD274;SLFN5;USP12;TNFAIP3;DDX60L;ADM;SLC7A11;CXCL3;TANK;NDRG1;CXCL2;ARNTL2;AKAP2;ETS2;ZC3H12C;MT2A;IRAK2;KYNU;ZC3H12A;TRIM69;PIM3;MSC;KDM6B;DUSP5;GK;DUSP1;IL15;SPHK1;TNFRSF18;INHBA;SOD2;IGFN1;TM4SF1;GEM;ABTB2;ISG20;PLSCR1;KLF6;TNFSF9;ANGPTL4;RHCG;ATF3;CHST2;PLEKHM3
