Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MAF SIRNA MACROPHAGE HUMAN GSE98368 RNASEQ DOWN	55/458	9.464222697174641E-34	1.8530948041067947E-30	0	0	8.032597742109798	610.8017405533911	F13A1;AP2A2;ARHGAP4;MS4A4A;FCGRT;ADORA3;SLCO2B1;STAB1;ARHGDIB;COTL1;MFSD1;CD36;EMB;PRKACB;GPR34;ABCC5;RNASET2;AP1B1;RNASE6;MYO7A;NISCH;VAMP8;PLA2G15;MS4A6A;SLFN11;ERP29;S100A4;KCTD12;DOCK2;PLCB2;TLR4;NAIP;C1QA;GCNT1;NPL;AIF1;GRAMD4;CORO1A;HLA-DMA;HLA-DMB;RXRA;MLEC;FUCA1;IDH2;DHCR24;FLI1;TPCN1;CD4;PARVG;LPAR6;FES;TBXAS1;CPVL;FOLR2;C1QC
RARA ACTIVATION HUMAN GSE5679 CREEDSID GENE 2385 DOWN	35/291	1.1924123870255195E-21	1.1673717268979836E-18	0	0	8.045144755140273	387.6014657938288	SASH3;C1QA;CEBPA;RGS19;PON2;QPRT;ROGDI;ICAM3;F13A1;PRCP;PYCARD;RXRA;ARHGDIB;COTL1;IGFLR1;MAN1C1;EMB;CD36;FZD2;LMO2;RNASE6;DHCR24;RNASE1;PKIB;MS4A6A;DOK2;DAP;NAAA;CAT;S100A4;TGFBI;GPD1L;CPVL;VCL;C1QC
SRF KO MOUSE GSE34545 CREEDSID GENE 2884 UP	22/367	3.884554630711618E-8	2.535319322311116E-5	0	0	4.009732714862439	68.42076547751742	CD52;C1QA;AFAP1L1;LST1;GCNT1;GIMAP1;LMO2;LY86;AIF1;CORO1A;PTGS1;SULT1A1;HHEX;RNF125;OLFML3;STAB1;ARHGDIB;MAN1C1;KCTD12;TGFBI;FOLR2;C1QC
U2AF1 OE CFUG HUMAN GSE94153 RNASEQ UP	22/410	2.672611074790668E-7	1.308243121110032E-4	0	0	3.589199771596378	54.322681126855876	GSTK1;CD52;AHCY;PRCP;AIF1;MS4A4A;GCHFR;VAMP8;EEF1B2;LDHB;MS4A6A;HLA-DMA;APEX1;ARHGDIB;CAT;ERP29;S100A4;LTA4H;CD36;TGFBI;SLC25A5;C1QC
SP140 KD PBMC HUMAN GSE83381 RNASEQ UP	15/197	2.9575086525253176E-7	1.1581603883289143E-4	0	0	5.09311919596625	76.56867260650962	C1QA;FUCA1;RNASET2;IDH2;CORO1A;LDHB;MS4A6A;CD4;FCGRT;ARHGDIB;COTL1;ERP29;TGFBI;CPVL;C1QC
IRF9 OE HUMAN GSE50002 CREEDSID GENE 1655 DOWN	16/228	3.606727217121592E-7	1.1769953151873461E-4	0	0	4.694009270668309	69.63701168981041	ZCCHC24;ABHD14A;COMMD6;NCAPH;CLYBL;PTGS1;CDC25B;RNF125;MTHFD1L;REEP4;NT5DC2;FFAR4;ELMO1;REEP6;CENPP;SLC37A4
DOT1L INHIBITION HUMAN GSE29828 CREEDSID GENE 1239 UP	16/234	5.115034550886612E-7	1.430748235805141E-4	0	0	4.573650058599892	66.2534899660338	HEXB;LST1;CLEC11A;ICAM3;AIF1;CORO1A;SORL1;LYL1;FCGRT;TOP1MT;TACC3;COTL1;ERP29;METTL7B;S100A4;LTA4H
FOSL1 KO MOUSE GSE43695 CREEDSID GENE 2302 DOWN	18/302	7.48549920908056E-7	1.832075931422467E-4	0	0	3.9867992646570247	56.234313701918964	C1QA;SCARB1;GAS2L3;HEXB;LY86;F13A1;TREM2;NPL;ITGAE;AIF1;MS4A4A;GATM;ENC1;COTL1;S100A4;TGFBI;FOLR2;C1QC
FOSL1 KO MOUSE GSE43695 CREEDSID GENE 2301 UP	18/304	8.235181053500663E-7	1.7916093891949222E-4	0	0	3.960570322126386	55.48632402545999	C1QA;SCARB1;GAS2L3;HEXB;LY86;F13A1;TREM2;NPL;ITGAE;AIF1;MS4A4A;GATM;ENC1;COTL1;S100A4;TGFBI;FOLR2;C1QC
E2F8 KO MOUSE GSE52157 CREEDSID GENE 2828 DOWN	21/406	9.11562198358086E-7	1.7848387843851323E-4	0	0	3.459808557259832	48.11938418103176	MAP4K1;SASH3;CD52;RGS19;RNASE6;LY86;ARHGAP15;CORO1A;SORL1;FLI1;ARHGAP4;CD4;CALHM2;PARVG;ARHGDIB;PNPO;ELMO1;TGFBI;DOCK2;DNASE1L3;PLCB2
