Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MAF SIRNA MACROPHAGE HUMAN GSE98368 RNASEQ DOWN	41/458	2.784807330223174E-27	5.452652752576974E-24	0	0	8.951965065502183	547.3734435950137	C1QA;GCNT1;F13A1;NPL;AP2A2;GRAMD4;AIF1;CORO1A;ARHGAP4;MS4A4A;HLA-DMA;HLA-DMB;FCGRT;ADORA3;SLCO2B1;STAB1;ARHGDIB;COTL1;MLEC;MFSD1;CD36;EMB;GPR34;FUCA1;RNASET2;IDH2;AP1B1;TPCN1;PLA2G15;MS4A6A;CD4;SLFN11;PARVG;FES;TBXAS1;ERP29;S100A4;KCTD12;DOCK2;CPVL;PLCB2
RARA ACTIVATION HUMAN GSE5679 CREEDSID GENE 2385 DOWN	26/291	1.7804873068330474E-17	1.7430970733895536E-14	0	0	8.934707903780069	344.58541121671635	C1QA;CEBPA;RGS19;PON2;QPRT;ROGDI;F13A1;PYCARD;ARHGDIB;COTL1;MAN1C1;CD36;EMB;FZD2;LMO2;RNASE1;PKIB;MS4A6A;DOK2;DAP;NAAA;CAT;S100A4;GPD1L;CPVL;VCL
SP140 KD PBMC HUMAN GSE83381 RNASEQ UP	13/197	9.761657528486401E-8	6.371108480258791E-5	0	0	6.598984771573604	106.52225425365864	C1QA;FUCA1;RNASET2;IDH2;CORO1A;LDHB;MS4A6A;CD4;FCGRT;ARHGDIB;COTL1;ERP29;CPVL
DOT1L INHIBITION HUMAN GSE29828 CREEDSID GENE 1239 UP	14/234	1.0523459861108937E-7	5.1512336020128244E-5	0	0	5.982905982905983	96.12779140687395	LST1;CLEC11A;AIF1;CORO1A;SORL1;LYL1;FCGRT;TOP1MT;TACC3;COTL1;ERP29;METTL7B;S100A4;LTA4H
AR KD HUMAN GSE22483 CREEDSID GENE 2194 DOWN	15/341	1.8704401096119924E-6	7.324643469240562E-4	0	0	4.398826979472141	58.017610566225244	POP5;AHCY;GLRX5;SORD;ZWINT;LDHB;PKIB;RACGAP1;HLTF;POLD2;MLEC;EMB;SNRNP25;ATP6V0E2;SLC25A5
GATA1 DELTAN MUTATION MOUSE GSE2433 CREEDSID GENE 980 DOWN	13/258	2.1078775712521437E-6	6.878707140852829E-4	0	0	5.038759689922481	65.85572755528298	CEBPA;RGS19;LMO2;FES;NT5DC2;ARHGDIB;RRS1;COTL1;ERP29;MAN1C1;CD36;EMB;SLC25A5
IRF9 OE HUMAN GSE50002 CREEDSID GENE 1655 DOWN	12/228	3.351145721725769E-6	9.37363331877008E-4	0	0	5.263157894736842	66.34846454796252	ZCCHC24;RNF125;MTHFD1L;REEP4;NT5DC2;FFAR4;ELMO1;ABHD14A;REEP6;COMMD6;NCAPH;CDC25B
EZH1 SHRNA PROE HUMAN GSE59089 RNASEQ UP	17/470	5.3879054262654615E-6	0.0013186898530784716	0	0	3.6170212765957444	43.87936499743005	CLEC11A;AP1B1;CORO1A;SORL1;KIAA0930;PARVG;FES;STAB1;ARHGDIB;ERP29;ELMO1;MLEC;EMB;METTL7A;ESYT1;DOCK2;VCL
ZFX KO MOUSE GSE7069 CREEDSID GENE 178 UP	11/206	7.538231340409541E-6	0.001639984107169098	0	0	5.339805825242718	62.98580228673566	GAS2L3;HHEX;CDCA7L;LST1;ARHGDIB;LMO2;FRMD4A;KCTD12;EMB;HADH;APPL2
MBD2 KO MOUSE GSE48653 CREEDSID GENE 1051 UP	15/389	9.22151121660548E-6	0.001805571896211353	0	0	3.8560411311053984	44.70683146839566	C1QA;LST1;LMO2;ALOX15;SLC40A1;F13A1;AIF1;LYL1;HHEX;RACGAP1;FCGRT;FES;NAAA;KCTD12;APPL2
