Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
SP140 KD PBMC HUMAN GSE83381 RNASEQ DOWN	50/403	2.3669482334821067E-40	4.634484641157965E-37	0	0	12.40694789081886	1132.0322860988265	IL1RN;CD83;TNFAIP6;CD80;RNF19B;TNFAIP3;DDX60L;SLC2A6;ICAM1;KYNU;NAMPT;CCR7;PIM3;RAB8B;ACSL1;RIPK2;RHBDF2;LSS;PLSCR1;IRF1;NINJ1;RAPGEF2;SQSTM1;ATF3;OPTN;IDO1;CES1;PPP1R15A;CD274;SLFN5;GRAMD1A;C1S;UBD;CCL5;CCL4;CCL3;SLAMF7;GBP1;GBP4;IL32;GADD45B;GK;GCH1;CFLAR;SOD2;NFKB2;NFKBIA;KLF6;ZNFX1;GRINA
MYB OE HUMAN GSE2816 CREEDSID GENE 2154 DOWN	48/469	1.024870734259764E-34	1.0033484488403089E-31	0	0	10.23454157782516	800.9892708238198	PPP1R15A;CSRNP1;CD274;IL1RN;CD40;CD83;TNFAIP6;CD80;EBI3;TNFAIP3;ADM;SLC7A11;TANK;SLC2A6;LAMP3;KYNU;CCL5;NAMPT;CCL4;CCL3;SLAMF7;CCR7;PIM3;CYTIP;IER5;GBP1;IER3;MMP7;GADD45B;ACSL1;RFTN1;G0S2;TAP1;CFLAR;SOD2;NFKB1;ISG20;NFKBIA;PLSCR1;KLF6;ZNFX1;NR4A3;TNIP1;IL2RA;NINJ1;ATF3;IDO1;BIRC3
ZNF207 OE HUMAN GSE9951 CREEDSID GENE 1581 DOWN	41/360	1.8544122350194075E-31	1.210313052056E-28	0	0	11.38888888888889	805.9070482631892	CD274;CD83;CXCL8;TNFAIP3;ADM;CXCL1;SLC7A11;PTGS2;CXCL3;NDRG1;CXCL2;STX11;NAMPT;HIVEP1;GBP1;DUSP4;DUSP5;EDN1;GCH1;ACSL1;DUSP1;CCL20;SPHK1;GFPT2;IL36G;G0S2;INHBA;TM4SF1;GEM;NFKB1;EHD1;NR4A2;IL6;KLF5;IL1B;CLCF1;TMCC3;ANGPTL4;FERMT2;CHST2;HBEGF
IRF1 OE HUMAN GSE26817 CREEDSID GENE 2502 UP	39/383	4.6613194419111705E-28	2.281715866815518E-25	0	0	10.182767624020887	640.8329707821258	HIST2H2AA3;CXCL6;CD40;HIST2H2AA4;CXCL8;EBI3;TNFAIP3;DDX60L;ADM;N4BP2L1;CXCL1;CXCL2;HELZ2;MT2A;LAMP3;UBD;KYNU;CCL5;ZC3H12A;NFKBIZ;DENND5A;MAP3K8;NBN;GBP1;HIST1H2AC;GBP4;GCH1;RIPK2;IL15;TAP1;PARP9;ISG20;PLSCR1;ZNFX1;IRF1;OPTN;HIST1H2BD;IDO1;BIRC3
TP63 OE HUMAN GSE20286 CREEDSID GENE 2455 UP	38/361	7.096273254091111E-28	2.778900606302079E-25	0	0	10.526315789473683	658.0296089619048	IL1RN;HIST2H2AA4;CSF2;CXCL8;C1S;EBI3;RNF19B;TNFAIP3;ADM;CXCL1;PTGS2;CXCL3;NDRG1;CXCL2;ICAM1;LAMP3;ZC3H12A;CCL4;CCL3;MAP3K8;GBP1;IL32;MMP1;SPHK1;RFTN1;TFPI2;IL36G;TAP1;INHBA;CFLAR;TM4SF1;MMP10;IL1B;ANGPTL4;RHCG;CHST2;HIST1H2BD;HIST1H2BC
TFAP2C KD HUMAN GSE15481 CREEDSID GENE 2970 UP	34/296	3.08190871476389E-26	1.0057295439179494E-23	0	0	11.486486486486488	674.735321691677	SLFN5;HIST2H2AA4;CXCL8;ZBED6CL;TNFAIP6;C1S;TNFAIP3;ADM;CXCL1;SLC7A11;PTGS2;RASGRP1;UBD;KYNU;NAMPT;ZC3H12A;PIM1;CCL3;DENND5A;MAP3K8;CKB;IL32;CCL20;GFPT2;INHBA;HIST2H2BE;GEM;IL6;ANGPTL4;RHCG;HIST1H2BD;LRP12;HIST1H2BC;BIRC3
SPDEF KD HUMAN GSE40985 CREEDSID GENE 2606 UP	36/350	4.576798534670558E-26	1.2801959329835645E-23	0	0	10.285714285714285	600.1324732186732	PPP1R15A;LAD1;FAM129A;RNF19B;TNFAIP3;DDX60L;MSANTD3;ADM;SLC7A11;RASGRP1;ETS2;ICAM1;RELB;HELZ2;LAMP3;CCL5;ZC3H12A;IER5;GBP1;IER3;DUSP5;EDN1;SPHK1;TFPI2;RHBDF2;TAP1;PARP9;GEM;ISG20;PLSCR1;IL6;KLF6;ZNFX1;IRF1;ATF3;OPTN
NCOA1 KD HUMAN GSE28645 CREEDSID GENE 888 UP	36/390	1.9807905549323093E-24	4.847984883196827E-22	0	0	9.230769230769232	503.80196489233793	PPP1R15A;CD274;CXCL8;TNFAIP3;DDX60L;CXCL1;SLC7A11;CXCL3;TNF;CXCL2;LAMP3;UBD;CCL5;NFKBIZ;SLAMF7;TRIM69;GBP1;GBP4;IL15RA;EDN1;IL15;CCL20;TFPI2;TAP1;PARP9;ISG20;TMEFF1;IL6;ZNFX1;CLCF1;IRF1;REL;RHCG;ATF3;IDO1;BIRC3
TFAP2C SIRNA HUMAN GSE15481 CREEDSID GENE 2895 UP	32/307	2.1334792945254632E-23	4.641502731867619E-21	0	0	10.423452768729643	544.1219858782772	SLFN5;HIST2H2AA4;CXCL8;ZBED6CL;TNFAIP6;C1S;TNFAIP3;ADM;CXCL1;PTGS2;RASGRP1;KYNU;NAMPT;ZC3H12A;PIM1;CCL3;DENND5A;MAP3K8;CKB;GK;CCL20;GFPT2;INHBA;HIST2H2BE;GEM;IL6;ANGPTL4;RHCG;HIST1H2BD;LRP12;HIST1H2BC;BIRC3
NCOA1 KO HUMAN GSE28645 CREEDSID GENE 1244 UP	35/407	9.844424803160624E-23	1.92753837645885E-20	0	0	8.5995085995086	435.75904542540724	PPP1R15A;CD274;HIST2H2AA4;CXCL8;TNFAIP3;DDX60L;CXCL1;CXCL3;TNF;AK8;LAMP3;UBD;CCL5;ZC3H12A;NFKBIZ;SLAMF7;MAP3K8;GBP1;GBP4;IL15;TFPI2;TAP1;PARP9;GEM;ISG20;NFKBIA;IL6;ZNFX1;CLCF1;IRF1;REL;RHCG;OPTN;IDO1;BIRC3
