"Gene"	"Rank.Sum"	"P.Val"	"P.Val.Adj"
"1"	"CCL20"	13	1.1540315081296e-22	1.70138865243546e-18
"2"	"CCR7"	15.625	5.2696864798509e-22	3.88454938862209e-18
"3"	"IL1B"	33.125	2.42902910288273e-19	1.19370586879333e-15
"4"	"IDO1"	48	4.88165232976742e-18	1.79925500744403e-14
"5"	"TNFAIP6"	64.375	5.20622336906963e-17	1.53510702260387e-13
"6"	"IL6"	66.75	6.97016808318807e-17	1.71268646750736e-13
"7"	"CXCL8"	74.375	1.66496257717227e-16	3.50664903932155e-13
"8"	"CXCL2"	78.875	2.67103286196222e-16	4.92237968548863e-13
"9"	"G0S2"	81.625	3.51887772272544e-16	5.76431269623791e-13
"10"	"TRAF1"	94.75	1.16694525975602e-15	1.7204273964583e-12
