"Gene"	"Rank.Sum"	"P.Val"	"P.Val.Adj"
"1"	"MS4A6A"	79.125	2.73990441698758e-16	4.03944108196479e-12
"2"	"ADORA3"	128.625	1.35915565871654e-14	6.67934395881933e-11
"3"	"TREM2"	128.625	1.35915565871654e-14	6.67934395881933e-11
"4"	"CD36"	189.375	3.02728823020891e-13	1.11578275944925e-09
"5"	"S100A4"	252.625	3.04999170887738e-12	8.99320555279583e-09
"6"	"FZD2"	263.75	4.30806457686821e-12	1.0585632676128e-08
"7"	"CAMK1"	332	2.7229169575226e-11	5.73485210067938e-08
"8"	"GRAMD4"	372.75	6.88291426163505e-11	1.26843506199107e-07
"9"	"ENC1"	389.625	9.81256557192111e-11	1.60740726918703e-07
"10"	"FUCA1"	400.5	1.22330377002181e-10	1.80351674814315e-07
