PROBEID	SYMBOL	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
1007_s_at	DDR1	discoidin domain receptor tyrosine kinase 1	0.903429838606265	6.25201880065116	3.72317766080837	0.00178020122397899	0.0160405272438026	-1.99330625849556
1007_s_at	MIR4640	microRNA 4640	0.903429838606265	6.25201880065116	3.72317766080837	0.00178020122397899	0.0160405272438026	-1.99330625849556
1053_at	RFC2	replication factor C subunit 2	-0.487107944494952	4.94305445402164	-3.78784802802139	0.00155047791354544	0.0144316204459202	-1.85588826152255
117_at	HSPA6	heat shock protein family A (Hsp70) member 6	1.16256197870494	7.42051852393093	5.63236571008791	3.40220248064487e-05	0.000805703779770393	2.00140298034601
121_at	PAX8	paired box 8	-0.00396910370664472	5.35941899574144	-0.0307073027383831	0.975873231196329	1	-7.29004815041016
1255_g_at	GUCA1A	guanylate cyclase activator 1A	4.44089209850063e-16	2.25005432485196	4.12681007534436e-13	0.999999999999676	1	-7.29054604696949
1294_at	UBA7	ubiquitin like modifier activating enzyme 7	-0.630573565259403	4.18263329476859	-3.9878652757114	0.0010119245711197	0.0103719941206349	-1.43017265714209
1294_at	MIR5193	microRNA 5193	-0.630573565259403	4.18263329476859	-3.9878652757114	0.0010119245711197	0.0103719941206349	-1.43017265714209
1316_at	THRA	thyroid hormone receptor, alpha	-0.00702775904718367	2.28429866643041	-0.539476562937647	0.596800541560735	0.844817639274586	-7.13821999918181
1320_at	PTPN21	protein tyrosine phosphatase, non-receptor type 21	4.44089209850063e-16	2.25005432485196	4.12681007534436e-13	0.999999999999676	1	-7.29054604696949
1405_i_at	CCL5	C-C motif chemokine ligand 5	3.16268137552095	9.53941485396454	3.52960743263633	0.00269227209978054	0.0218311132457823	-2.40334623842481
1431_at	CYP2E1	cytochrome P450 family 2 subfamily E member 1	4.44089209850063e-16	2.25005432485196	4.12681007534436e-13	0.999999999999676	1	-7.29054604696949
1438_at	EPHB3	EPH receptor B3	4.44089209850063e-16	2.25005432485196	4.12681007534436e-13	0.999999999999676	1	-7.29054604696949
