# GSE103092.analysis.more.ids3.Rmd 
# 1593285614 
# Input file: geo.datasets/GSE103092/GSE103092.txt 
"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"
"A_23_P116898"	0.2184441	0.00538	-3.3602969	-2.110029	-1.2083956	"A2M"
"A_23_P31798"	0.5384885	0.0789	-1.9129581	-4.566391	-0.5133204	"NAT2"
"A_23_P96761"	0.1143559	0.0013	-4.1217101	-0.774214	-0.9453867	"ACADM"
"A_23_P65022"	0.7843855	0.342	-0.9884506	-5.736323	-0.3804541	"ACADS"
"A_23_P207650"	0.8521368	0.48	-0.7286027	-5.954323	-0.2143307	"ACADVL"
"A_33_P3253975"	0.5579726	0.0912	-1.8298546	-4.691197	-0.7836682	"ACAT1"
"A_24_P203678"	0.6099094	0.123	-1.6521211	-4.947337	-0.652472	"ACAT1"
"A_23_P24515"	0.5458758	0.0825	-1.8873668	-4.605142	-0.8406551	"ACAT1"
"A_24_P945113"	0.9150937	0.648	-0.4673263	-6.111668	-0.1603267	"ACVRL1"
"A_23_P205686"	0.7373905	0.259	1.1815488	-5.538323	0.1923859	"PSEN1"
"A_23_P210482"	0.5736365	0.101	1.771341	-4.777216	0.9347208	"ADA"
"A_23_P66637"	0.8326456	0.436	-0.8041713	-5.896991	-0.764542	"SGCA"
"A_23_P145024"	0.1786816	0.0034	-3.6035978	-1.679537	-1.38481	"ADRB2"
"A_23_P168993"	0.9142808	0.645	-0.471563	-6.10964	-0.0868536	"ADRB3"
"A_23_P155103"	0.3335222	0.0165	-2.7664799	-3.156946	-0.5157252	"ADSL"
"A_23_P7099"	0.5872803	0.109	-1.7271345	-4.841126	-0.5863241	"AGA"
"A_23_P200298"	0.7462285	0.274	-1.145335	-5.577636	-0.3376858	"AGL"
"A_23_P115261"	0.7096494	0.224	-1.279218	-5.427544	-1.0497597	"AGT"
"A_33_P3250278"	0.7505725	0.281	-1.1255685	-5.598681	-0.2731295	"AGXT"
"A_23_P217114"	0.5205687	0.0701	-1.9802261	-4.463246	-0.7414818	"ALAD"
"A_32_P385587"	0.9530971	0.797	-0.2631609	-6.18819	-0.0558626	"ALAS2"
"A_23_P148556"	0.9660526	0.849	0.1945763	-6.204418	0.0735911	"ABCD1"
"A_33_P3224660"	0.7759187	0.325	-1.0234331	-5.702622	-0.3108296	"ABCD1"
"A_23_P88963"	0.7954797	0.361	0.9477792	-5.774249	0.1720279	"ALDOA"
"A_23_P415974"	0.3857786	0.0256	2.5320724	-3.561094	0.560985	"ALDOB"
"A_23_P32143"	0.6696478	0.177	-1.4321405	-5.240972	-0.3100901	"ALDOB"
