"Gene.symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"RSAD2"	9.7048654759265	5.32059954456742	19.1224702916645	3.54278314572655e-12	4.03005768046147e-10	18.1370795722055
"IFIT1"	7.71589688544267	5.49797717754414	26.9410112559717	2.05223836207612e-14	5.79903925740939e-12	23.1833831678566
"CMPK2"	6.8115189858192	4.4327653644357	30.7265014010427	2.78479840716792e-15	1.30460476958956e-12	24.6116160843496
"GBP4"	6.70088847542382	4.04051306414639	14.5397048842577	1.97932176060421e-10	1.07099957392936e-08	14.3121102334701
"SIGLEC1"	6.60120598122508	6.36864922243879	61.3885565700478	6.86230085708681e-20	3.16189362326897e-16	34.6259801014942
"IFIT2"	6.44153730399241	6.46524161761769	27.0465601150014	1.93414636659124e-14	5.55349574484795e-12	23.500022528071
"AP001610.5"	5.89982973997715	4.72960852685752	35.5562204244244	3.00297782739874e-16	2.32430483840662e-13	26.9144723274822
"MX1"	5.80485806097426	7.54762161256035	56.0693890955855	2.76960292589317e-19	9.80594981026947e-16	34.2688230105546
"ISG15"	5.80334906023999	6.21634980553933	41.0140384207912	3.37524471907697e-17	3.75538165556301e-14	29.5533012238791
"EPSTI1"	5.77673177708029	4.15533759776293	27.1841193327838	1.79097503639569e-14	5.22671108162558e-12	23.1309146213684
"TNFSF10"	5.74992110960753	3.83888082757933	13.3045062021469	7.09485602022512e-10	2.91691978919279e-08	13.0511252491541
"OAS3"	5.43920638182484	7.85408418308206	61.2504005542414	7.10458066120429e-20	3.16189362326897e-16	35.5841756222538
"OAS2"	5.42698803644453	6.75036804900083	55.4290851957057	3.3050049916648e-19	9.80594981026947e-16	33.9008889490228
"HERC5"	5.42004044868596	4.62509494114161	25.4272050507389	4.92512675731197e-14	1.23488882441785e-11	22.4272779587581
"RP1-71H24.1"	5.19545335000137	8.73206707267586	62.5531767394361	5.13766690640966e-20	3.16189362326897e-16	36.0419859523546
"IFIT3"	5.04780826607967	7.53668602581894	38.5955016111555	8.56352325220413e-17	7.6223920467869e-14	28.8980782402712
"GBP5"	5.03508943376177	4.59174148040365	14.6421056667999	1.78815395505224e-10	9.85533025010526e-09	14.3751070133598
"RP4-620F22.2"	5.02264609149734	4.09425860237767	13.7386386310143	4.4793857941451e-10	2.03648189901053e-08	13.4856913195261
"XAF1"	4.79384969303305	5.46545140591008	49.8210257449683	1.70441436469257e-18	3.03419845202571e-15	31.9966041973898
"USP41"	4.34706086327528	2.79686190858006	18.9290997068912	4.12048458734332e-12	4.47273576974913e-10	17.96338328917
"IFI44"	4.3172350666793	6.2230634840182	51.8626025574156	9.19275964771933e-19	2.04561884060874e-15	32.9694820826299
"MX2"	4.28093972741441	7.06645004631475	50.7673038790523	1.27635436197744e-18	2.52462892799138e-15	32.8847369533448
"HELZ2"	4.24927942786736	6.6831284985179	42.7579789892517	1.78249032681132e-17	2.11545951985968e-14	30.366043338765
"APOBEC3A"	4.23770530036837	3.66802241208271	11.3694875428483	6.51038728399094e-09	1.80245590092701e-07	10.7829623016547
"OAS1"	4.17520323577569	6.53421869687646	43.9718359759642	1.16017342614687e-17	1.72111727768888e-14	30.7536381592235
"USP18"	4.1254092454533	4.86016831631745	28.5769132260304	8.39051527487675e-15	2.87246063314146e-12	24.2542074776383
"GCH1"	4.10269705665906	3.75972652499492	14.3871224661572	2.30541862667228e-10	1.19653243125423e-08	14.15357778837
"IRF7"	3.98176747130191	3.65611843945309	29.7312169775051	4.59625409336846e-15	1.74090458234352e-12	24.4285115636327
"IFI6"	3.94486761127164	8.47066251466375	64.1313871005763	3.50008478768103e-20	3.16189362326897e-16	36.3835759100033
"DDX58"	3.84114843701297	5.48120336656048	24.7036242139833	7.61832074590915e-14	1.8578266564202e-11	22.1369830190867
"NCF1B"	3.82308512525602	4.93259791681365	24.945174253322	6.57712843794771e-14	1.62619500628257e-11	22.2755834230774
"APOL3"	3.82039686679677	3.87439773076137	16.6397939582073	2.76780801810278e-11	2.15340369060335e-09	16.2690263588573
"CXCL8"	3.77602258660163	3.88583624564741	11.1495072267178	8.53754365994912e-09	2.2786409630347e-07	10.45050929922
"GBP1"	3.76017615181063	6.79372070783241	23.2448081353707	1.90731661888397e-13	4.04214886302053e-11	21.1396469917684
"SAMD9L"	3.74142822374837	7.13908278394483	33.449323661405	7.63317064453292e-16	4.52952346046583e-13	26.7305731316009
"PARP14"	3.73878217468637	7.6453942445909	52.4806663107094	7.6617687055939e-19	1.94849723567118e-15	33.4529644593746
"NCF1C"	3.72197328172708	4.83107605374056	22.5632274682355	2.98428088744121e-13	5.53397587064879e-11	20.777192643833
"DDX60"	3.67226669989111	5.05999912203242	35.2705985634018	3.39689288017233e-16	2.51319529451719e-13	27.3458599366772
"IFIT5"	3.65735176350787	3.88001952904725	30.332062560503	3.39004859406817e-15	1.43689631122861e-12	24.8594159098837
